Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00
1;11.00;45.35;0.13;1.00;-0.77;-0.11
2;11.00;47.95;0.19;2.00;-1.19;0.34
3;11.00;55.34;0.27;3.00;-0.92;0.35
4;11.00;64.75;0.35;4.00;-0.62;0.06
5;11.00;74.03;0.44;5.00;-1.16;-0.21
6;11.00;82.71;0.52;6.00;-1.28;0.15
7;11.00;85.71;0.61;7.00;-0.63;-0.05
8;11.00;85.59;0.69;8.00;-1.45;-0.18
9;11.00;85.13;0.77;9.00;-1.20;0.23
10;11.00;85.16;0.88;10.00;-0.88;-0.19
11;11.00;88.74;1.00;11.00;-0.76;-0.10
12;11.00;104.90;1.17;12.00;-1.18;-0.05
13;11.00;127.99;1.39;13.00;-1.35;-0.19
14;11.00;158.74;1.60;14.00;-0.79;0.12
15;11.00;195.74;1.85;15.00;-0.91;0.03
16;11.00;238.55;2.14;16.00;-0.63;-0.23
17;11.00;276.58;2.45;17.00;-0.39;0.12
18;11.00;308.89;2.74;18.00;-0.63;-0.01
19;11.00;325.24;3.03;19.00;-1.22;0.01
20;11.00;329.95;3.30;20.00;-1.73;-0.05
21;11.00;329.43;3.61;21.00;-1.80;-0.19
22;11.00;328.25;3.89;22.00;-1.59;-0.16
23;11.00;327.46;4.20;23.00;-1.89;-0.22
24;11.00;326.66;4.46;24.00;-1.22;-0.09
25;11.00;325.82;4.75;25.00;-0.82;-0.07
26;11.00;324.90;5.04;26.00;-0.16;0.09
27;11.00;324.51;5.36;27.00;-0.33;0.06
28;11.00;324.75;5.64;28.00;-0.17;0.13
29;11.00;323.29;5.90;29.00;0.29;0.00
30;11.00;321.82;6.10;30.00;-0.89;-0.01
31;11.00;321.71;6.33;31.00;-0.02;0.11
32;11.00;321.93;6.56;32.00;-0.87;0.14
33;11.00;322.19;6.76;33.00;-1.17;0.02
34;11.00;323.84;6.98;34.00;-1.20;-0.03
35;11.00;323.27;7.17;35.00;-1.67;-0.06
36;11.00;321.97;7.37;36.00;-1.55;-0.10
37;11.00;322.02;7.57;37.00;-1.74;-0.20
38;11.00;322.53;7.81;38.00;-1.77;-0.09
39;11.00;322.73;7.98;39.00;-1.29;-0.06
40;11.00;320.79;8.15;40.00;-0.70;0.04
41;11.00;319.55;8.34;41.00;-0.84;0.01
42;11.00;319.27;8.45;42.00;-0.64;0.00
43;11.00;319.50;8.53;43.00;-0.36;-0.02
44;11.00;320.74;8.62;44.00;-0.03;-0.07
45;11.00;322.28;8.65;45.00;0.23;-0.06
46;11.00;322.62;8.63;46.00;-0.38;-0.00
47;11.00;321.52;8.64;47.00;-0.60;0.06
48;11.00;320.55;8.62;48.00;-0.74;0.01
49;11.00;321.11;8.59;49.00;-0.83;0.13
50;11.00;321.82;8.62;50.00;-0.08;0.09
51;11.00;323.21;8.62;51.00;-0.68;0.09
52;11.00;322.34;8.65;52.00;-0.62;0.13
53;11.00;321.56;8.60;53.00;-0.78;0.05
54;11.00;321.24;8.64;54.00;-1.21;-0.01
55;11.00;321.41;8.64;55.00;-1.42;-0.09
56;11.00;321.09;8.62;56.00;-1.52;-0.13
57;11.00;320.24;8.55;57.00;-1.40;-0.18
58;11.00;319.97;8.57;58.00;-1.56;-0.12
59;11.00;318.51;8.59;59.00;-1.65;-0.09
60;11.00;318.32;8.60;60.00;-1.84;-0.18
61;11.00;321.62;8.59;61.00;-1.85;-0.07
62;11.00;322.94;8.56;62.00;-1.62;-0.07
63;11.00;321.06;8.57;63.00;-1.71;-0.04
64;11.00;322.32;8.56;64.00;-1.30;-0.03
65;11.00;322.60;8.52;65.00;-1.43;-0.03
66;11.00;321.64;8.55;66.00;-1.40;0.01
67;11.00;318.59;8.55;67.00;-1.11;0.04
68;11.00;316.96;8.52;68.00;-1.33;-0.10
69;11.00;319.56;8.56;69.00;-1.33;0.04
70;11.00;320.40;8.55;70.00;-1.14;0.01
71;11.00;319.06;8.46;71.00;-1.15;-0.03
72;11.00;306.68;8.38;72.00;-1.30;-0.00
73;11.00;281.24;8.24;73.00;-0.66;0.03
74;11.00;246.79;8.06;74.00;-0.91;0.06
75;11.00;208.83;7.90;75.00;-0.71;0.06
76;11.00;177.87;7.72;76.00;-1.13;-0.02
77;11.00;158.71;7.52;77.00;-1.39;-0.11
78;11.00;147.51;7.32;78.00;-0.82;0.01
79;11.00;134.75;7.14;79.00;-1.38;0.05
80;11.00;120.03;6.92;80.00;-1.40;-0.40
81;11.00;108.92;6.70;81.00;-1.13;0.29
82;11.00;96.32;6.45;82.00;-0.53;0.10
83;11.00;90.88;6.25;83.00;-0.92;-0.37
84;11.00;87.39;6.03;84.00;-1.21;-0.47
85;11.00;80.02;5.82;85.00;-1.19;-0.40
86;11.00;77.00;5.64;86.00;-1.27;-0.33
87;11.00;74.15;5.45;87.00;-1.21;-0.29
88;11.00;72.89;5.21;88.00;-1.39;-0.27
89;11.00;72.58;5.02;89.00;-1.40;-0.17
90;11.00;72.70;4.82;90.00;-1.55;-0.05
91;11.00;72.32;4.60;91.00;-1.50;0.03
92;11.00;72.15;4.40;92.00;-1.42;0.05
93;11.00;72.12;4.18;93.00;-1.21;-0.25
94;11.00;67.31;3.96;94.00;-0.82;-0.29
95;11.00;60.93;3.76;95.00;-1.23;0.21
96;11.00;53.53;3.50;96.00;-0.74;-0.19
97;11.00;48.05;3.27;97.00;-0.98;-0.13
98;11.00;40.77;3.03;98.00;-1.28;0.06
99;11.00;36.34;2.78;99.00;-1.18;0.18
100;11.00;33.90;2.55;100.00;-1.24;0.09
101;11.00;25.18;2.22;102.00;-1.05;-0.02
102;11.00;23.91;2.09;103.00;-0.50;-0.13
103;11.00;19.20;2.02;104.00;-0.98;0.18
104;11.00;13.13;1.94;105.00;-1.06;-0.01
105;11.00;10.63;1.87;106.00;-0.97;0.00
106;11.00;8.30;1.79;107.00;-0.94;-0.06
107;11.00;1.78;1.74;108.00;-1.12;0.01
108;11.00;-2.47;1.69;109.00;-0.90;0.09
109;11.00;-3.54;1.63;110.00;-1.23;0.09
110;11.00;-7.19;1.58;111.00;-0.91;0.11
111;11.00;-10.95;1.53;112.00;-1.09;0.03
112;11.00;-12.80;1.49;113.00;-1.12;-0.08
113;11.00;-17.11;1.43;114.00;-1.07;-0.05
114;11.00;-23.06;1.36;115.00;-1.02;-0.01
115;11.00;-29.93;1.28;116.00;-1.04;-0.05
116;11.00;-37.11;1.22;117.00;-1.00;0.00
117;11.00;-44.06;1.16;118.00;-1.10;-0.00
118;11.00;-49.22;1.09;119.00;-1.08;-0.00
119;11.00;-54.39;1.01;120.00;-1.02;-0.00
120;11.00;-59.60;0.95;121.00;-1.02;-0.01
121;11.00;-64.79;0.87;122.00;-1.06;-0.00
122;11.00;-70.21;0.80;123.00;-1.05;0.00
123;11.00;-76.28;0.73;124.00;-1.06;0.02
