Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;9014304.00;0;0.20;-0.00;-1.00;0.00
1;100;9100416.00;0;0.44;-0.05;-0.99;0.22
2;100;9186552.00;3;4.47;0.57;-1.07;0.08
3;0;9272676.00;23;4.47;0.21;-1.10;0.13
4;100;9358768.00;71;8.74;-0.02;-0.92;0.01
5;0;9444892.00;124;4.72;0.28;-0.99;0.28
6;100;9531004.00;227;8.99;-0.70;-1.56;0.00
7;0;9617124.00;263;4.43;0.45;-0.86;0.04
8;100;9703256.00;350;8.34;-1.47;-1.42;0.17
9;0;9789364.00;310;4.02;0.34;-0.96;0.00
10;100;9875488.00;334;7.40;-1.57;-1.41;0.13
11;0;9961588.00;270;3.49;0.57;-0.90;0.29
12;100;10047724.00;318;6.87;-1.53;-1.53;0.28
13;0;10133824.00;303;3.49;-0.49;-0.81;0.01
14;100;10219920.00;364;7.32;0.50;-0.39;0.16
