Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;2605024.00;0.75;0.24;0.00;-1.00;0.00
1;0.00;2691156.00;0.57;0.24;0.00;-1.00;0.00
2;0.00;2777268.00;0.65;0.24;0.00;-1.00;0.00
3;9.00;2863388.00;0.71;0.52;-0.01;-0.96;0.04
4;9.00;2949520.00;2.04;0.65;0.05;-1.03;0.05
5;9.00;3035612.00;12.49;0.81;0.13;-0.98;0.12
6;9.00;3121740.00;25.34;0.65;0.18;-1.02;0.02
7;9.00;3207860.00;33.03;0.65;-0.15;-1.02;0.06
8;9.00;3293976.00;37.35;0.61;0.17;-1.01;0.03
9;9.00;3380064.00;39.30;0.61;-0.09;-0.98;0.04
10;19.00;3466156.00;40.92;0.85;0.40;-0.67;0.01
11;19.00;3552304.00;53.50;1.18;-0.18;-0.93;0.03
12;19.00;3638412.00;85.90;1.46;0.34;-0.97;0.03
13;19.00;3724524.00;102.86;1.50;0.00;-1.16;0.01
14;29.00;3810644.00;107.40;2.31;-0.48;-1.46;0.03
15;29.00;3896728.00;129.99;3.01;0.38;-0.21;0.00
16;29.00;3982836.00;181.89;3.66;0.44;-0.83;0.03
17;29.00;4068952.00;203.80;3.33;-0.25;-1.65;0.05
18;29.00;4155076.00;207.29;3.33;-0.63;-1.38;0.06
19;29.00;4241164.00;207.49;3.33;0.06;-0.49;0.08
20;39.00;4327276.00;207.74;4.47;0.88;-0.66;0.05
21;39.00;4413396.00;234.45;5.33;-0.20;-1.05;0.08
22;39.00;4499520.00;302.98;6.34;-1.26;-1.37;0.02
23;39.00;4585628.00;331.30;5.98;-0.38;-0.73;0.04
24;39.00;4671760.00;334.32;5.81;0.74;-1.01;0.10
25;49.00;4757864.00;334.90;7.56;-0.01;-1.43;0.10
26;49.00;4843972.00;361.63;8.87;-0.72;-0.35;0.12
27;49.00;4930100.00;442.12;10.49;1.48;-0.48;0.12
28;49.00;5016228.00;478.83;10.29;-0.06;-1.10;0.11
29;49.00;5102344.00;482.54;10.57;-1.06;-0.36;0.14
30;59.00;5188460.00;482.50;10.37;1.24;-0.26;0.15
31;59.00;5274568.00;482.36;10.21;0.01;-1.04;0.20
32;59.00;5360692.00;482.12;9.88;-1.37;-0.44;0.01
33;59.00;5446800.00;480.72;9.84;0.88;-0.51;0.36
34;59.00;5532948.00;480.50;9.72;0.24;-0.75;0.49
35;69.00;5619052.00;480.73;10.13;-1.47;-0.66;0.12
36;69.00;5705172.00;480.81;10.21;1.09;-0.39;0.36
37;69.00;5791304.00;481.14;10.29;0.28;-0.48;0.60
38;69.00;5877404.00;480.59;10.37;-1.32;-0.38;0.21
39;69.00;5963536.00;481.01;10.05;1.36;-0.56;0.26
40;79.00;6049636.00;479.93;9.96;-0.36;-0.92;0.13
41;79.00;6135752.00;478.84;9.80;-0.50;-0.29;0.07
42;79.00;6221892.00;478.23;10.21;1.47;-0.77;0.26
43;79.00;6307988.00;478.71;9.84;-0.82;-0.91;0.00
44;79.00;6394096.00;479.16;9.64;-0.00;-0.04;0.09
45;89.00;6480224.00;479.23;9.44;1.37;-0.96;0.17
46;89.00;6566332.00;475.61;9.76;-1.52;-0.97;0.11
47;89.00;6738552.00;480.11;9.96;0.49;-0.80;0.36
