Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;2462744.00;0;0.24;-0.00;-0.99;0.01
1;100;2548860.00;0;0.61;0.02;-1.02;0.07
2;100;2634968.00;2;3.09;-0.24;-1.12;0.00
3;0;2721108.00;17;3.05;0.11;-1.04;0.10
4;100;2807140.00;55;6.99;-0.39;-0.93;0.12
5;0;2893256.00;102;4.51;-0.50;-1.09;0.22
6;100;2979372.00;207;8.74;-1.56;-1.54;0.36
7;0;3065440.00;250;4.39;-0.42;-0.93;0.03
8;100;3151552.00;344;8.34;-1.24;-1.00;0.21
9;0;3237632.00;309;4.10;0.52;-0.97;0.35
10;100;3323728.00;336;8.13;0.60;-0.53;0.00
