Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;2315296.00;0;0.24;-0.00;-1.00;0.01
1;100;2401396.00;1;0.48;-0.01;-1.04;0.03
2;100;2487500.00;2;4.55;0.29;-0.67;0.09
3;0;2573596.00;25;4.51;0.00;-0.90;0.26
4;100;2659684.00;105;8.62;-0.67;-1.32;0.37
5;0;2745812.00;186;4.51;0.41;-0.99;0.09
6;100;2831912.00;273;8.30;-1.65;-1.59;0.13
7;0;2917996.00;245;3.94;0.27;-0.95;0.09
8;100;3004136.00;306;7.52;-0.14;-1.41;0.28
9;0;3090212.00;296;3.78;-0.08;-0.98;0.02
10;100;3176316.00;360;7.32;-1.54;-1.53;0.20
11;0;3262408.00;311;3.74;0.51;-0.99;0.26
12;100;3348516.00;333;6.91;-1.33;-1.47;0.03
13;0;3434596.00;305;3.33;-0.56;-0.98;0.19
14;100;3520684.00;359;6.99;0.97;-0.41;0.10
15;0;3606780.00;308;3.78;0.53;-1.08;0.04
16;100;3692864.00;327;7.64;-0.39;-0.33;0.02
17;0;3778940.00;265;3.98;0.20;-0.98;0.27
18;100;3865036.00;315;7.52;-0.77;-0.81;0.32
19;0;3951140.00;299;3.70;-0.31;-0.94;0.01
