Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1801.00;0.54;0.04;-0.01;-1.04;0.01
1;0.00;1886.00;0.48;0.08;-0.00;-1.04;0.02
2;0.00;1973.00;0.32;0.12;-0.01;-1.03;0.01
3;0.00;2059.00;0.06;0.12;-0.01;-1.04;0.01
4;0.00;2145.00;0.10;0.12;-0.01;-1.04;0.01
5;0.00;2231.00;0.27;0.12;-0.01;-1.04;0.01
6;0.00;2317.00;0.30;0.12;-0.01;-1.04;0.01
7;0.00;2403.00;0.51;0.16;-0.01;-1.04;0.01
8;0.00;2489.00;0.47;0.16;-0.01;-1.03;0.01
9;0.00;2575.00;0.48;0.16;-0.01;-1.04;0.01
10;0.00;2747.00;0.38;0.12;-0.01;-1.04;0.01
11;0.00;2833.00;0.46;0.12;-0.01;-1.04;0.01
12;0.00;2920.00;0.46;0.12;-0.01;-1.04;0.02
13;0.00;3006.00;0.13;0.12;-0.01;-1.05;0.02
14;0.00;3092.00;0.08;0.12;-0.01;-1.04;0.01
15;0.00;3178.00;0.10;0.12;-0.01;-1.04;0.02
16;0.00;3264.00;0.28;0.12;-0.01;-1.04;0.02
17;0.00;3350.00;0.30;0.12;-0.01;-1.04;0.01
18;0.00;3436.00;0.33;0.12;-0.01;-1.03;0.01
19;0.00;3522.00;0.43;0.12;-0.01;-1.04;0.01
20;0.00;3608.00;0.36;0.12;-0.01;-1.04;0.02
21;0.00;3694.00;0.52;0.12;-0.01;-1.05;0.02
22;0.00;3780.00;0.51;0.12;-0.01;-1.04;0.01
23;0.00;3867.00;0.33;0.12;-0.01;-1.04;0.02
24;0.00;3953.00;0.38;0.12;-0.01;-1.04;0.01
25;0.00;4039.00;0.48;0.12;-0.01;-1.04;0.01
26;0.00;4125.00;0.51;0.12;-0.01;-1.04;0.01
27;0.00;4211.00;0.42;0.12;-0.01;-1.03;0.01
28;0.00;4297.00;0.47;0.16;-0.01;-1.04;0.01
29;0.00;4383.00;0.54;0.16;-0.01;-1.04;0.01
30;0.00;4469.00;0.54;0.16;-0.00;-1.03;0.01
31;0.00;4555.00;0.40;0.12;-0.01;-1.04;0.02
32;0.00;4641.00;0.17;0.12;-0.01;-1.04;0.01
33;0.00;4727.00;0.21;0.12;-0.01;-1.04;0.01
34;0.00;4814.00;0.19;0.12;-0.01;-1.04;0.01
35;0.00;4900.00;0.22;0.12;-0.01;-1.04;0.01
36;0.00;4986.00;0.38;0.12;-0.01;-1.04;0.01
