Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;0.28;0.04;-0.01;-1.03;-0.01
1;0.00;0.10;0.08;-0.00;-1.04;-0.01
2;0.00;0.37;0.12;-0.01;-1.04;-0.01
3;0.00;0.42;0.12;-0.00;-1.04;-0.01
4;0.00;0.34;0.12;-0.01;-1.04;-0.01
5;0.00;0.24;0.12;-0.01;-1.04;-0.02
6;0.00;0.60;0.12;-0.01;-1.04;-0.01
7;0.00;0.63;0.12;-0.01;-1.04;-0.01
8;0.00;0.58;0.12;-0.01;-1.04;-0.01
9;0.00;0.54;0.12;-0.01;-1.04;-0.01
10;0.00;0.50;0.12;-0.01;-1.04;-0.01
11;0.00;0.37;0.12;-0.01;-1.04;-0.01
12;0.00;0.43;0.12;-0.01;-1.04;-0.02
13;0.00;0.35;0.12;-0.00;-1.04;-0.01
14;0.00;0.45;0.12;-0.01;-1.04;-0.01
15;0.00;0.54;0.12;-0.01;-1.05;-0.01
16;0.00;0.35;0.12;-0.00;-1.04;-0.01
17;0.00;0.42;0.12;-0.01;-1.05;-0.01
18;0.00;0.33;0.12;-0.01;-1.04;-0.01
19;0.00;0.50;0.16;-0.01;-1.04;-0.01
20;0.00;0.45;0.16;-0.01;-1.04;-0.01
21;0.00;0.40;0.16;-0.01;-1.04;-0.01
22;0.00;0.43;0.12;-0.01;-1.04;-0.01
23;0.00;0.36;0.12;-0.01;-1.04;-0.01
24;0.00;0.37;0.12;-0.01;-1.04;-0.01
25;0.00;0.31;0.12;-0.01;-1.04;-0.00
26;0.00;0.27;0.12;-0.00;-1.03;-0.01
27;0.00;0.32;0.12;-0.01;-1.04;-0.01
28;0.00;0.45;0.12;-0.01;-1.04;-0.02
29;0.00;0.30;0.12;-0.01;-1.04;-0.01
30;0.00;0.38;0.12;-0.01;-1.04;-0.01
31;0.00;0.52;0.12;-0.01;-1.04;-0.01
32;0.00;0.36;0.12;-0.01;-1.04;-0.01
33;0.00;0.28;0.12;-0.00;-1.04;-0.01
34;0.00;0.20;0.12;-0.01;-1.04;-0.01
35;0.00;0.28;0.12;-0.01;-1.04;-0.01
36;0.00;0.18;0.12;-0.01;-1.04;-0.01
37;0.00;0.19;0.12;-0.01;-1.04;-0.02
38;0.00;0.25;0.12;-0.01;-1.04;-0.01
39;0.00;0.38;0.12;-0.01;-1.04;-0.01
40;0.00;0.34;0.12;-0.00;-1.03;-0.01
41;0.00;0.12;0.12;-0.01;-1.04;-0.00
42;0.00;0.19;0.12;-0.01;-1.05;-0.02
43;0.00;0.31;0.12;-0.01;-1.04;-0.01
44;0.00;0.37;0.12;-0.01;-1.04;-0.02
45;0.00;0.33;0.12;-0.01;-1.04;-0.02
46;0.00;0.37;0.12;-0.00;-1.03;-0.01
47;0.00;0.29;0.12;-0.01;-1.04;-0.01
48;0.00;0.27;0.12;-0.00;-1.04;-0.02
49;0.00;0.42;0.12;-0.01;-1.04;-0.01
50;0.00;0.47;0.12;-0.01;-1.04;-0.01
51;0.00;0.50;0.12;-0.00;-1.03;-0.01
52;0.00;0.41;0.12;-0.00;-1.04;-0.02
53;0.00;0.35;0.12;-0.00;-1.04;-0.01
54;0.00;0.38;0.12;-0.01;-1.04;-0.01
55;0.00;0.31;0.12;-0.01;-1.04;-0.01
56;0.00;0.21;0.12;-0.00;-1.03;-0.01
