Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1740.00;0.60;0.04;-0.01;-1.04;-0.01
1;0.00;1826.00;0.70;0.08;-0.01;-1.04;-0.01
2;0.00;1912.00;0.71;0.12;-0.01;-1.04;-0.01
3;0.00;1999.00;0.54;0.12;-0.01;-1.04;-0.01
4;0.00;2085.00;0.57;0.12;-0.01;-1.04;-0.01
5;0.00;2171.00;0.64;0.12;-0.01;-1.05;-0.01
6;0.00;2257.00;0.57;0.12;-0.01;-1.04;-0.01
7;0.00;2343.00;0.68;0.12;-0.00;-1.04;-0.01
8;0.00;2429.00;0.66;0.12;-0.01;-1.04;-0.02
9;0.00;2515.00;0.57;0.12;-0.01;-1.04;-0.01
10;0.00;2601.00;0.43;0.12;-0.01;-1.05;-0.01
11;0.00;2688.00;0.55;0.12;-0.01;-1.04;-0.01
12;0.00;2774.00;0.50;0.12;-0.01;-1.04;-0.00
13;0.00;2860.00;0.42;0.12;-0.01;-1.04;-0.01
14;0.00;2947.00;0.52;0.12;-0.01;-1.05;-0.02
15;0.00;3033.00;0.52;0.12;-0.01;-1.04;-0.01
16;0.00;3119.00;0.68;0.12;-0.01;-1.04;-0.01
17;0.00;3205.00;0.38;0.12;-0.01;-1.04;-0.01
18;0.00;3291.00;0.24;0.12;-0.01;-1.04;-0.01
19;0.00;3377.00;0.41;0.12;-0.01;-1.04;-0.01
20;0.00;3463.00;0.55;0.12;-0.01;-1.04;-0.01
21;0.00;3549.00;0.53;0.12;-0.01;-1.04;-0.01
22;0.00;3635.00;0.56;0.12;-0.01;-1.04;-0.01
23;0.00;3721.00;0.58;0.12;-0.01;-1.04;-0.01
24;0.00;3808.00;0.64;0.12;-0.01;-1.03;-0.01
25;0.00;3894.00;0.63;0.12;-0.01;-1.04;-0.01
26;0.00;3980.00;0.67;0.12;-0.01;-1.04;-0.02
27;0.00;4066.00;0.50;0.12;-0.01;-1.04;-0.01
28;0.00;56.00;0.30;0.12;-0.00;-1.04;-0.01
29;0.00;142.00;0.38;0.12;-0.00;-1.04;-0.01
30;0.00;228.00;0.54;0.12;-0.01;-1.04;-0.01
31;0.00;314.00;0.45;0.12;-0.01;-1.04;-0.01
32;0.00;400.00;0.51;0.12;-0.01;-1.04;-0.01
33;0.00;486.00;0.45;0.16;-0.01;-1.04;-0.02
34;0.00;573.00;0.45;0.16;-0.01;-1.04;-0.01
35;0.00;659.00;0.56;0.16;-0.01;-1.04;-0.01
36;0.00;745.00;0.62;0.12;-0.01;-1.04;-0.02
37;0.00;831.00;0.49;0.12;-0.01;-1.04;-0.01
38;0.00;917.00;0.72;0.12;-0.01;-1.04;-0.01
39;0.00;1003.00;0.61;0.12;-0.00;-1.04;-0.01
40;0.00;1089.00;0.46;0.12;-0.01;-1.04;-0.01
41;0.00;1175.00;0.44;0.12;-0.01;-1.04;-0.01
42;0.00;1261.00;0.37;0.12;-0.00;-1.04;-0.01
43;0.00;1347.00;0.37;0.12;-0.00;-1.03;-0.01
44;0.00;1434.00;0.48;0.12;-0.01;-1.04;-0.01
45;0.00;1520.00;0.73;0.12;-0.01;-1.04;-0.01
46;0.00;1606.00;0.58;0.12;-0.01;-1.04;-0.01
47;0.00;1692.00;0.52;0.12;-0.01;-1.04;-0.01
48;0.00;1778.00;0.55;0.12;-0.01;-1.04;-0.01
49;0.00;1864.00;0.55;0.12;-0.01;-1.04;-0.03
50;0.00;1950.00;0.56;0.12;-0.01;-1.03;-0.01
51;0.00;2036.00;0.73;0.12;-0.01;-1.04;-0.01
52;0.00;2122.00;0.61;0.12;-0.01;-1.04;-0.01
53;0.00;2209.00;0.60;0.12;-0.01;-1.04;-0.01
54;0.00;2295.00;0.64;0.12;-0.01;-1.04;-0.02
55;0.00;2381.00;0.55;0.12;-0.01;-1.04;-0.01
56;0.00;2467.00;0.47;0.12;-0.00;-1.04;-0.01
57;0.00;2553.00;0.28;0.12;-0.00;-1.03;-0.01
58;0.00;2639.00;0.45;0.12;-0.01;-1.04;-0.01
59;0.00;2725.00;0.43;0.12;-0.01;-1.04;-0.02
60;0.00;2811.00;0.56;0.12;-0.01;-1.04;-0.01
61;0.00;2897.00;0.76;0.12;-0.00;-1.04;-0.01
62;0.00;2983.00;0.60;0.12;-0.01;-1.04;-0.02
63;0.00;3070.00;0.45;0.12;-0.00;-1.03;-0.00
64;0.00;3156.00;0.49;0.12;-0.00;-1.03;-0.01
65;0.00;3243.00;0.52;0.12;-0.00;-1.04;-0.01
66;0.00;3329.00;0.64;0.12;-0.01;-1.04;-0.02
67;0.00;3415.00;0.52;0.12;-0.01;-1.04;-0.01
68;0.00;3501.00;0.51;0.12;-0.01;-1.04;-0.01
69;0.00;3587.00;0.45;0.12;-0.01;-1.04;-0.01
70;0.00;3673.00;0.39;0.12;-0.01;-1.04;-0.02
71;0.00;3759.00;0.49;0.12;-0.01;-1.04;-0.01
72;0.00;3846.00;0.41;0.12;-0.00;-1.03;-0.01
73;0.00;3932.00;0.43;0.12;-0.01;-1.04;-0.01
74;0.00;4018.00;0.35;0.12;-0.01;-1.04;-0.01
75;0.00;8.00;0.47;0.12;-0.01;-1.04;-0.00
76;0.00;94.00;0.45;0.12;-0.01;-1.04;-0.01
77;0.00;180.00;0.54;0.12;-0.00;-1.03;-0.01
78;0.00;266.00;0.55;0.12;-0.01;-1.04;-0.01
79;40.00;352.00;0.64;0.65;-0.09;-1.04;-0.22
80;45.00;438.00;2.23;2.03;0.15;-0.81;-0.03
81;50.00;524.00;17.92;2.80;0.34;-0.76;-0.01
82;55.00;611.00;75.87;3.33;0.47;-0.49;-0.05
83;60.00;697.00;147.74;3.09;0.38;-1.10;0.16
84;65.00;783.00;187.72;3.90;0.59;-0.56;0.01
85;75.00;955.00;242.83;5.49;-0.58;-0.38;0.02
86;80.00;1041.00;274.43;6.26;0.63;-0.74;-0.05
87;85.00;1127.00;304.67;7.40;-1.55;-0.79;0.13
88;90.00;1213.00;335.95;8.34;-0.76;-1.32;-0.09
89;95.00;1299.00;370.81;8.99;-1.43;-1.08;-0.08
90;100.00;1386.00;400.65;8.95;-1.24;-0.88;0.03
91;105.00;1472.00;410.19;8.78;-0.17;-0.44;0.06
92;110.00;1558.00;410.46;8.50;0.48;-0.58;-0.03
93;115.00;1644.00;410.34;8.62;1.48;-0.68;-0.09
94;120.00;1730.00;410.08;8.62;1.49;-1.04;-0.11
95;125.00;1816.00;409.99;9.19;0.62;-1.43;-0.04
96;130.00;1902.00;409.54;8.87;-0.23;-1.31;-0.00
97;135.00;1988.00;409.65;8.66;-0.60;-0.98;0.09
98;140.00;2074.00;409.30;8.13;-1.32;-0.96;0.03
99;140.00;2161.00;408.60;8.34;-1.52;-1.04;-0.06
100;135.00;2247.00;407.42;8.58;-0.96;-0.84;-0.07
101;130.00;2333.00;406.21;8.74;0.02;-0.47;0.06
102;125.00;2419.00;406.05;8.74;0.95;-0.64;0.01
103;120.00;2505.00;406.75;8.58;1.34;-0.81;-0.00
104;115.00;2591.00;408.48;8.78;1.66;-1.01;-0.13
105;110.00;2677.00;408.43;8.82;1.11;-1.20;-0.20
106;105.00;2763.00;408.55;9.19;0.41;-1.18;-0.10
107;100.00;2849.00;408.52;8.70;-0.19;-1.12;-0.02
108;95.00;2935.00;407.89;8.91;-0.47;-1.20;0.16
109;90.00;3022.00;407.32;8.78;-1.28;-1.09;0.08
110;85.00;3108.00;406.66;8.46;-0.31;-0.67;-0.02
111;80.00;3194.00;399.94;7.64;-0.70;-1.29;0.07
112;75.00;3280.00;373.24;6.63;-1.15;-0.99;-0.04
113;70.00;3366.00;337.55;5.73;1.06;-1.06;0.00
114;65.00;3452.00;304.58;4.88;0.91;-1.15;0.05
115;60.00;3538.00;272.68;3.98;-0.49;-0.50;-0.13
116;55.00;3624.00;241.11;3.33;-0.17;-0.47;-0.17
117;50.00;3710.00;213.69;2.60;-0.09;-1.73;0.04
118;45.00;3796.00;188.70;2.15;-0.17;-1.37;0.06
119;40.00;3884.00;163.39;1.79;-0.08;-1.00;0.13
120;0.00;3970.00;140.92;1.13;0.03;-0.96;-0.11
121;0.00;4056.00;113.84;0.52;-0.15;-1.05;-0.01
122;0.00;46.00;74.99;0.12;0.06;-0.99;0.01
123;0.00;132.00;45.26;0.12;-0.01;-0.98;0.00
124;0.00;218.00;28.81;0.12;0.10;-1.02;-0.02
125;0.00;304.00;19.15;0.12;0.08;-1.02;-0.01
126;0.00;390.00;13.26;0.12;0.09;-1.03;-0.02
