Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;10725608.00;0.62;0.24;0.00;-0.99;0.00
1;0.00;10811732.00;0.49;0.24;0.00;-1.00;0.00
2;0.00;10897852.00;0.45;0.24;0.00;-1.00;0.00
3;28.00;10983956.00;0.36;0.28;-0.00;-1.02;0.03
4;28.00;11070052.00;0.49;0.32;0.02;-0.99;0.05
5;0.00;11156172.00;1.56;0.32;-0.00;-1.00;0.00
6;0.00;11242280.00;3.15;0.28;-0.00;-0.99;0.02
7;0.00;11328392.00;2.53;0.28;0.00;-1.00;0.00
8;28.00;11414508.00;1.59;0.32;0.01;-1.02;0.01
9;28.00;11500608.00;1.86;0.36;-0.00;-1.01;0.00
