Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;2675940.00;0.75;0.24;0.00;-1.00;0.00
1;100.00;2762064.00;0.65;0.93;-0.06;-1.02;0.17
2;100.00;2848184.00;2.13;4.47;0.38;-0.97;0.06
3;0.00;2934320.00;20.60;4.47;-0.13;-1.14;0.09
4;100.00;3020428.00;69.30;7.40;0.67;-0.70;0.23
5;0.00;3106564.00;117.42;3.86;-0.34;-1.23;0.23
6;100.00;3192676.00;219.40;7.60;-0.73;-0.78;0.35
7;0.00;3278804.00;252.12;3.98;-0.32;-1.01;0.03
8;100.00;3364932.00;309.10;7.24;1.11;-0.83;0.21
9;0.00;3451044.00;260.09;3.49;-0.21;-0.75;0.20
10;100.00;3537164.00;312.03;7.08;0.68;-1.23;0.17
11;0.00;3623284.00;298.23;3.82;0.10;-1.46;0.16
12;100.00;3709404.00;359.71;7.89;1.04;-0.75;0.11
13;0.00;3795552.00;309.36;4.31;-0.52;-1.27;0.09
14;100.00;3881656.00;329.26;7.69;1.08;-0.65;0.13
15;0.00;3967780.00;266.55;3.62;-0.63;-1.42;0.23
16;100.00;4053908.00;313.45;6.99;1.30;-1.11;0.31
17;0.00;4140012.00;297.51;3.62;0.69;-0.87;0.06
18;100.00;4226128.00;358.00;7.16;0.77;-0.66;0.03
19;0.00;4312260.00;308.47;3.78;-0.65;-1.54;0.21
20;100.00;4398388.00;330.30;7.81;0.51;-0.62;0.09
21;0.00;4484492.00;303.51;4.27;0.85;-0.54;0.09
22;100.00;4570624.00;358.08;8.09;-1.15;-0.87;0.03
23;0.00;4656752.00;306.20;4.06;-0.35;-1.62;0.06
24;0.00;4742864.00;324.81;4.06;0.12;-0.90;0.10
25;0.00;4828980.00;203.49;0.24;-0.10;-1.01;0.09
26;0.00;4915100.00;98.24;0.24;0.08;-1.03;0.03
27;0.00;5001204.00;54.70;0.24;0.04;-0.97;0.16
28;0.00;5087336.00;33.84;0.24;-0.06;-0.98;0.01
29;0.00;5173456.00;22.02;0.24;0.19;-0.97;0.09
30;0.00;5259584.00;14.81;0.24;0.13;-0.98;0.08
31;0.00;5345712.00;10.50;0.24;0.00;-1.00;0.07
32;0.00;5431828.00;7.57;0.24;0.00;-1.01;0.08
33;0.00;5517956.00;5.50;0.24;-0.01;-1.00;0.02
34;0.00;5604068.00;3.89;0.24;-0.01;-1.00;0.07
35;0.00;5690172.00;2.84;0.24;0.00;-0.99;0.00
36;0.00;5776328.00;2.02;0.24;0.01;-1.00;0.05
37;0.00;5862424.00;1.53;0.24;-0.00;-1.00;0.01
38;0.00;5948548.00;1.22;0.24;-0.00;-1.02;0.01
39;0.00;6034668.00;0.84;0.24;-0.00;-1.01;0.00
40;0.00;6206888.00;0.49;0.24;-0.00;-1.00;0.01
41;0.00;6293016.00;0.36;0.24;-0.00;-1.01;0.00
42;0.00;6379136.00;0.27;0.24;0.00;-1.00;0.00
43;0.00;6465244.00;0.39;0.24;0.00;-0.99;0.00
44;0.00;6551364.00;0.46;0.24;-0.00;-0.99;0.00
45;0.00;6723612.00;0.53;0.24;0.00;-1.00;0.02
46;0.00;6809732.00;0.50;0.24;0.00;-1.00;0.00
47;0.00;6895860.00;0.46;0.24;-0.00;-1.00;0.01
48;0.00;6981956.00;0.49;0.24;0.00;-0.99;0.00
49;0.00;7068064.00;0.43;0.24;-0.00;-1.00;0.00
50;100.00;7154196.00;0.52;0.73;-0.07;-1.07;0.20
51;0.00;7240316.00;1.85;0.73;-0.03;-1.01;0.15
52;100.00;7326428.00;8.28;5.81;0.63;-0.51;0.01
53;0.00;7412556.00;44.00;5.33;0.22;-0.57;0.23
54;100.00;7498672.00;174.73;9.31;0.13;-0.52;0.16
55;0.00;7584776.00;248.10;4.23;0.67;-0.62;0.15
56;100.00;7670892.00;340.66;7.93;-0.29;-0.65;0.15
57;0.00;7757032.00;303.70;3.94;-0.64;-1.64;0.02
58;100.00;7843128.00;327.16;7.81;0.56;-0.18;0.16
59;0.00;7929244.00;265.91;4.10;-0.60;-1.65;0.18
60;100.00;8015372.00;314.25;8.01;1.27;-0.81;0.16
61;0.00;8101472.00;297.80;4.15;0.83;-0.63;0.00
62;100.00;8187584.00;356.72;8.21;-0.09;-0.46;0.11
63;0.00;8273712.00;306.80;4.31;-0.48;-1.67;0.18
64;100.00;8359812.00;328.45;7.64;0.14;-0.68;0.11
65;0.00;8445932.00;301.52;3.58;0.59;-0.46;0.00
66;100.00;8532060.00;355.69;6.95;-1.24;-0.91;0.03
67;0.00;8618180.00;304.68;3.62;-0.45;-1.58;0.08
68;100.00;8704300.00;323.97;7.60;0.20;-0.27;0.06
69;0.00;8790424.00;263.50;4.23;-0.37;-1.50;0.13
70;0.00;8876560.00;310.49;4.23;0.11;-0.85;0.07
71;0.00;8962632.00;211.72;0.24;-0.00;-0.98;0.19
72;0.00;9048764.00;103.06;0.24;-0.12;-1.04;0.09
73;0.00;9134892.00;57.12;0.24;-0.12;-1.06;0.00
