Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1892.00;0.47;0.08;-0.01;-1.05;0.01
1;0.00;-70.00;0.68;0.12;-0.00;-1.04;0.01
2;0.00;2064.00;0.45;0.12;-0.01;-1.04;0.01
3;0.00;2151.00;0.36;0.12;-0.01;-1.04;0.02
4;0.00;-67.00;0.45;0.12;-0.01;-1.04;0.02
5;0.00;2323.00;0.41;0.12;-0.01;-1.04;0.01
6;0.00;2409.00;0.54;0.12;-0.02;-1.04;0.01
7;0.00;-65.00;0.48;0.12;-0.01;-1.04;0.01
8;0.00;2581.00;0.41;0.16;-0.01;-1.04;0.02
9;0.00;2667.00;0.47;0.16;-0.00;-1.04;0.01
10;0.00;-63.00;0.59;0.16;-0.01;-1.04;0.01
11;0.00;2839.00;0.37;0.12;-0.01;-1.04;0.01
12;0.00;2925.00;0.42;0.16;-0.00;-1.04;0.01
13;0.00;-60.00;0.55;0.16;-0.01;-1.04;0.02
14;0.00;3098.00;0.43;0.16;-0.01;-1.04;0.01
15;0.00;3184.00;0.43;0.12;-0.01;-1.04;0.01
16;0.00;-58.00;0.54;0.12;-0.01;-1.04;0.01
17;0.00;3356.00;0.45;0.12;-0.01;-1.06;0.01
18;0.00;3442.00;0.36;0.12;-0.01;-1.04;0.01
19;0.00;-56.00;0.29;0.12;-0.01;-1.04;0.02
20;0.00;3614.00;0.31;0.12;-0.01;-1.04;0.02
21;0.00;3700.00;0.40;0.12;-0.01;-1.04;0.01
22;0.00;-53.00;0.52;0.12;-0.00;-1.04;0.01
23;0.00;3873.00;0.45;0.12;-0.01;-1.04;0.01
24;0.00;3959.00;0.44;0.12;-0.01;-1.04;0.01
25;0.00;-51.00;0.34;0.12;-0.01;-1.04;0.01
26;0.00;4131.00;0.26;0.12;-0.01;-1.04;0.02
27;0.00;4217.00;0.33;0.12;-0.01;-1.04;0.01
28;0.00;-49.00;0.32;0.12;-0.01;-1.04;0.01
29;0.00;4389.00;0.36;0.12;-0.01;-1.04;0.01
30;0.00;4475.00;0.56;0.16;-0.00;-1.04;0.01
31;0.00;-46.00;0.52;0.16;-0.01;-1.04;0.01
32;0.00;4648.00;0.46;0.16;-0.01;-1.04;0.01
33;0.00;4734.00;0.47;0.12;-0.01;-1.04;0.01
34;0.00;-44.00;0.64;0.12;-0.01;-1.04;0.01
35;0.00;4907.00;0.43;0.16;-0.01;-1.03;0.01
36;0.00;-127.00;0.44;0.16;-0.01;-1.04;0.01
37;0.00;-41.00;0.26;0.16;-0.01;-1.04;0.01
38;0.00;5165.00;0.27;0.12;-0.01;-1.05;0.01
39;0.00;-125.00;0.58;0.12;-0.01;-1.04;0.01
40;0.00;-39.00;0.47;0.12;-0.01;-1.04;0.02
41;0.00;5424.00;0.38;0.12;-0.01;-1.04;0.02
42;0.00;-122.00;0.42;0.12;-0.01;-1.04;0.01
43;0.00;-36.00;0.38;0.12;-0.01;-1.04;0.02
44;0.00;5682.00;0.41;0.12;-0.01;-1.04;0.02
45;0.00;-120.00;0.36;0.12;-0.01;-1.04;0.01
46;0.00;-34.00;0.22;0.12;-0.01;-1.04;0.01
47;0.00;5940.00;0.30;0.12;-0.01;-1.05;0.02
48;0.00;-118.00;0.49;0.12;-0.01;-1.04;0.01
49;0.00;-32.00;0.62;0.12;-0.01;-1.04;0.01
50;0.00;6199.00;0.47;0.12;-0.01;-1.04;0.02
51;0.00;-115.00;0.31;0.12;-0.01;-1.03;0.01
52;0.00;-29.00;0.55;0.12;-0.01;-1.04;0.01
53;0.00;6457.00;0.63;0.12;-0.01;-1.04;0.01
54;0.00;-113.00;0.48;0.12;-0.00;-1.04;0.01
55;0.00;-27.00;0.30;0.12;-0.01;-1.03;0.01
56;0.00;6715.00;0.40;0.12;-0.01;-1.04;0.01
57;0.00;-111.00;0.47;0.12;-0.01;-1.04;0.01
58;0.00;-25.00;0.45;0.12;-0.01;-1.05;0.02
59;0.00;6974.00;0.48;0.12;-0.01;-1.04;0.01
60;0.00;-108.00;0.47;0.12;-0.01;-1.04;0.01
61;0.00;-22.00;0.47;0.12;-0.01;-1.04;0.01
62;0.00;7232.00;0.32;0.12;-0.02;-1.04;0.01
63;0.00;-106.00;0.50;0.12;-0.01;-1.04;0.01
64;0.00;-20.00;0.45;0.12;-0.01;-1.04;0.01
65;0.00;7490.00;0.32;0.12;-0.01;-1.04;0.02
66;0.00;-104.00;0.51;0.12;-0.01;-1.04;0.01
67;0.00;-18.00;0.51;0.12;-0.01;-1.04;0.01
68;0.00;7749.00;0.47;0.12;-0.01;-1.04;0.01
69;0.00;-101.00;0.60;0.12;-0.01;-1.04;0.01
70;0.00;-15.00;0.41;0.12;-0.02;-1.05;0.02
71;0.00;8007.00;0.45;0.12;-0.01;-1.04;0.01
72;0.00;-99.00;0.41;0.12;-0.01;-1.04;0.01
73;0.00;-13.00;0.29;0.12;-0.01;-1.04;0.01
74;0.00;8265.00;0.33;0.12;-0.01;-1.04;0.01
75;0.00;-97.00;0.43;0.12;-0.01;-1.04;0.01
76;0.00;-11.00;0.54;0.12;-0.01;-1.04;0.01
77;0.00;8524.00;0.59;0.12;-0.01;-1.04;0.01
78;0.00;-94.00;0.43;0.12;-0.00;-1.04;0.01
79;40.00;-8.00;0.40;0.44;-0.05;-0.98;0.09
80;45.00;8782.00;3.04;1.58;-0.14;-1.25;0.03
81;50.00;-92.00;22.68;2.40;-0.30;-1.32;0.24
82;55.00;-6.00;85.78;3.17;-0.28;-1.63;0.00
83;60.00;9040.00;152.98;3.29;-0.36;-0.59;0.17
84;65.00;-90.00;187.25;4.02;-0.56;-1.42;0.10
85;70.00;-4.00;214.41;4.35;-1.26;-0.82;0.02
86;75.00;9299.00;244.56;4.92;0.56;-1.61;0.10
87;80.00;-87.00;273.59;5.61;-0.12;-1.08;0.03
88;85.00;9472.00;304.24;7.03;0.98;-1.28;0.14
89;90.00;9558.00;338.78;8.26;1.48;-1.12;0.08
90;95.00;-84.00;374.40;9.03;0.73;-1.35;0.01
91;100.00;9730.00;402.55;9.31;-0.37;-1.32;0.07
92;105.00;9816.00;410.83;8.87;-0.89;-1.21;0.02
93;110.00;-82.00;411.03;8.70;-1.53;-1.10;0.02
94;115.00;9988.00;410.33;8.38;-1.12;-0.67;0.04
95;120.00;10075.00;410.06;8.82;0.09;-0.33;0.06
96;125.00;-79.00;409.98;8.87;1.18;-0.87;0.03
97;130.00;10247.00;410.02;8.82;1.59;-0.83;0.02
98;135.00;10333.00;409.03;8.74;1.12;-1.38;0.12
99;140.00;-77.00;407.71;8.78;0.13;-1.29;0.09
100;140.00;10505.00;407.68;8.78;-0.90;-1.38;0.07
101;135.00;10591.00;407.53;8.82;-1.31;-1.18;0.05
102;130.00;-75.00;406.97;8.95;-1.60;-0.76;0.10
103;125.00;10763.00;406.61;8.78;-1.17;-0.75;0.01
104;120.00;10850.00;406.37;8.66;-0.11;-0.94;0.04
105;115.00;-72.00;405.19;8.70;0.96;-0.76;0.02
106;110.00;11022.00;404.46;8.95;1.61;-0.82;0.03
107;105.00;11108.00;403.93;8.78;1.44;-1.06;0.08
108;100.00;-70.00;404.70;8.58;0.53;-1.42;0.05
109;95.00;11280.00;403.51;8.78;-0.14;-1.57;0.01
110;90.00;11366.00;402.31;9.11;-0.96;-1.38;0.11
111;85.00;-68.00;403.05;8.70;0.82;-0.66;0.13
112;80.00;11538.00;395.73;7.89;-1.35;-0.71;0.01
113;75.00;11625.00;367.49;6.55;-1.29;-0.74;0.09
114;70.00;-65.00;337.16;5.65;0.88;-1.25;0.01
115;65.00;11797.00;305.78;4.67;0.30;-1.65;0.01
116;60.00;11883.00;271.56;4.19;-0.03;-0.50;0.08
117;55.00;-63.00;242.08;3.33;0.23;-0.48;0.08
118;50.00;12055.00;214.55;2.88;-0.27;-1.57;0.04
119;45.00;12141.00;187.30;2.15;-0.00;-1.33;0.02
120;40.00;-61.00;164.19;1.83;-0.10;-0.97;0.23
121;0.00;12313.00;141.77;1.01;0.20;-0.93;0.04
122;0.00;12399.00;111.17;0.52;0.04;-1.04;0.12
123;0.00;-58.00;70.92;0.12;-0.10;-1.06;0.06
124;0.00;12572.00;42.42;0.12;-0.04;-1.03;0.02
125;0.00;12658.00;27.24;0.12;-0.08;-1.03;0.00
126;0.00;-56.00;18.38;0.12;-0.07;-1.05;0.00
127;0.00;12830.00;12.40;0.12;-0.10;-1.05;0.00
128;0.00;12916.00;8.89;0.16;0.05;-1.05;0.01
