Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;16777215.00;0.45;0.04;-0.01;-1.04;0.01
1;0.00;0.00;0.84;0.08;-0.01;-1.04;0.01
2;0.00;16777215.00;0.79;0.12;-0.01;-1.04;0.01
3;0.00;16777215.00;0.57;0.12;-0.01;-1.04;0.01
4;0.00;0.00;0.38;0.12;-0.01;-1.04;0.01
5;0.00;16777215.00;0.31;0.12;-0.01;-1.04;0.02
6;0.00;16777215.00;0.27;0.12;-0.01;-1.03;0.01
7;0.00;0.00;0.33;0.12;-0.01;-1.04;0.01
8;0.00;16777215.00;0.45;0.12;-0.01;-1.04;0.01
9;0.00;16777215.00;0.40;0.12;-0.01;-1.04;0.01
10;0.00;0.00;0.48;0.12;-0.01;-1.04;0.02
11;0.00;16777215.00;0.55;0.12;-0.01;-1.03;0.01
12;0.00;16777215.00;0.53;0.12;-0.01;-1.04;0.01
13;0.00;0.00;0.55;0.12;-0.02;-1.04;0.01
14;0.00;16777215.00;0.48;0.12;-0.01;-1.04;0.03
15;0.00;16777215.00;0.37;0.12;-0.00;-1.03;0.01
16;0.00;0.00;0.37;0.12;-0.01;-1.03;0.01
17;0.00;16777215.00;0.46;0.12;-0.02;-1.04;0.01
18;0.00;16777215.00;0.56;0.12;-0.01;-1.04;0.01
19;0.00;0.00;0.45;0.12;-0.01;-1.04;0.01
20;0.00;16777215.00;0.52;0.12;-0.01;-1.04;0.01
21;0.00;16777215.00;0.35;0.12;-0.01;-1.04;0.01
22;0.00;0.00;0.21;0.12;-0.01;-1.04;0.01
23;0.00;16777215.00;0.34;0.12;-0.01;-1.04;0.01
24;0.00;16777215.00;0.38;0.12;-0.01;-1.04;0.01
25;0.00;0.00;0.32;0.12;-0.01;-1.04;0.01
26;0.00;16777215.00;0.30;0.12;-0.01;-1.03;0.01
27;0.00;16777215.00;0.43;0.12;-0.01;-1.04;0.01
28;0.00;0.00;0.41;0.12;-0.01;-1.03;0.01
29;0.00;16777215.00;0.53;0.16;-0.01;-1.04;0.01
30;0.00;16777215.00;0.46;0.16;-0.01;-1.05;0.02
31;0.00;0.00;0.48;0.16;-0.01;-1.04;0.01
32;0.00;16777215.00;0.42;0.12;-0.01;-1.04;0.02
33;0.00;16777215.00;0.46;0.12;-0.01;-1.04;0.01
34;0.00;0.00;0.52;0.12;-0.01;-1.03;0.01
35;0.00;16777215.00;0.61;0.12;-0.01;-1.04;0.02
36;0.00;16777215.00;0.61;0.12;-0.01;-1.03;0.01
37;0.00;0.00;0.60;0.12;-0.01;-1.04;0.00
38;0.00;16777215.00;0.48;0.12;-0.01;-1.04;0.01
39;0.00;0.00;0.35;0.12;-0.01;-1.04;0.02
40;0.00;0.00;0.26;0.12;-0.01;-1.04;0.01
41;0.00;16777215.00;0.21;0.12;-0.01;-1.05;0.01
42;0.00;0.00;0.30;0.12;-0.01;-1.04;0.01
43;0.00;0.00;0.38;0.12;-0.01;-1.04;0.01
44;0.00;16777215.00;0.33;0.12;-0.01;-1.04;0.02
45;0.00;0.00;0.34;0.12;-0.01;-1.04;0.01
46;0.00;0.00;0.53;0.12;-0.01;-1.04;0.01
47;0.00;16777215.00;0.64;0.12;-0.01;-1.04;0.01
48;0.00;0.00;0.56;0.12;-0.01;-1.04;0.01
49;0.00;0.00;0.40;0.12;-0.01;-1.04;0.01
50;0.00;16777215.00;0.39;0.12;-0.01;-1.04;0.01
51;0.00;0.00;0.36;0.12;-0.01;-1.04;0.01
52;0.00;0.00;0.44;0.12;-0.01;-1.04;0.01
53;0.00;16777215.00;0.49;0.12;-0.01;-1.04;0.02
54;0.00;0.00;0.42;0.12;-0.00;-1.04;0.01
55;0.00;0.00;0.41;0.12;-0.01;-1.04;0.01
56;0.00;16777215.00;0.56;0.12;-0.01;-1.04;0.01
57;0.00;0.00;0.49;0.12;-0.01;-1.04;0.01
58;0.00;0.00;0.30;0.12;-0.01;-1.04;0.01
59;0.00;16777215.00;0.49;0.12;-0.01;-1.05;0.01
60;0.00;0.00;0.46;0.12;-0.01;-1.04;0.01
61;0.00;0.00;0.41;0.12;-0.00;-1.04;0.01
62;0.00;16777215.00;0.60;0.12;-0.01;-1.04;0.01
63;0.00;0.00;0.58;0.12;-0.01;-1.04;0.01
64;0.00;0.00;0.45;0.12;-0.01;-1.04;0.01
65;0.00;16777215.00;0.59;0.12;-0.01;-1.04;0.00
66;0.00;0.00;0.45;0.12;-0.01;-1.04;0.01
67;0.00;0.00;0.31;0.12;-0.01;-1.04;0.01
68;0.00;16777215.00;0.39;0.12;-0.01;-1.04;0.01
69;0.00;0.00;0.40;0.12;-0.01;-1.04;0.01
70;0.00;0.00;0.54;0.12;-0.01;-1.03;0.01
71;0.00;16777215.00;0.54;0.12;-0.01;-1.04;0.02
72;0.00;0.00;0.45;0.12;-0.02;-1.04;0.02
73;0.00;0.00;0.32;0.12;-0.00;-1.04;0.01
74;0.00;16777215.00;0.45;0.12;-0.00;-1.03;0.01
75;0.00;0.00;0.43;0.12;-0.01;-1.04;0.01
76;0.00;0.00;0.36;0.12;-0.02;-1.04;0.01
77;0.00;16777215.00;0.44;0.12;-0.01;-1.04;0.01
78;0.00;0.00;0.50;0.12;-0.01;-1.04;0.01
79;40.00;0.00;0.48;0.48;-0.06;-1.07;0.17
80;45.00;16777215.00;2.32;1.87;-0.09;-1.22;0.03
81;50.00;0.00;19.61;2.80;0.08;-1.02;0.38
82;55.00;0.00;78.62;3.41;-0.22;-1.09;0.03
83;60.00;16777215.00;148.44;3.17;0.46;-0.43;0.07
84;65.00;0.00;187.97;3.41;-0.48;-0.97;0.14
85;70.00;0.00;217.04;4.02;0.36;-0.56;0.04
86;75.00;16777215.00;245.18;4.59;-1.06;-1.06;0.02
87;80.00;0.00;274.71;5.41;-1.37;-0.68;0.00
88;85.00;0.00;307.70;6.63;0.97;-1.02;0.08
89;90.00;16777215.00;338.51;7.81;-0.10;-0.98;0.13
90;95.00;0.00;371.15;8.82;1.01;-0.70;0.02
91;100.00;0.00;400.06;9.07;1.54;-1.05;0.10
92;105.00;16777215.00;409.15;9.11;1.43;-1.18;0.01
93;110.00;0.00;409.53;9.11;0.31;-1.20;0.02
94;115.00;16777215.00;408.51;8.74;-0.67;-1.25;0.09
95;120.00;16777215.00;408.25;8.62;-1.29;-1.35;0.00
96;125.00;0.00;407.61;8.66;-1.64;-1.00;0.01
97;130.00;16777215.00;407.34;9.03;-1.01;-0.99;0.07
98;135.00;16777215.00;407.25;8.95;-0.38;-0.28;0.03
99;140.00;0.00;406.66;8.87;0.76;-0.68;0.01
100;140.00;16777215.00;407.10;8.78;1.51;-0.92;0.04
101;135.00;16777215.00;406.43;9.03;1.47;-1.18;0.05
102;130.00;0.00;405.03;9.03;0.70;-1.23;0.18
103;125.00;16777215.00;404.06;9.11;0.17;-1.47;0.02
104;120.00;16777215.00;402.85;9.23;-0.71;-1.09;0.14
105;115.00;0.00;402.37;8.99;-1.39;-0.92;0.11
106;110.00;16777215.00;402.61;8.66;-1.47;-1.10;0.08
107;105.00;16777215.00;403.36;8.70;-1.42;-0.97;0.10
108;100.00;0.00;403.16;8.78;-0.70;-0.96;0.04
109;95.00;16777215.00;401.85;8.62;0.37;-0.77;0.00
110;90.00;16777215.00;401.57;8.54;1.27;-0.81;0.12
111;85.00;0.00;401.39;8.01;-0.22;-0.80;0.03
112;80.00;16777215.00;395.86;7.44;0.73;-1.00;0.10
113;75.00;16777215.00;369.31;6.10;0.90;-1.06;0.08
114;70.00;0.00;333.99;5.28;-1.19;-1.05;0.02
115;65.00;16777215.00;302.39;4.67;-0.84;-0.82;0.03
116;60.00;16777215.00;271.45;4.23;0.36;-1.59;0.13
117;55.00;0.00;239.75;3.66;-0.06;-1.56;0.14
118;50.00;16777215.00;210.82;2.97;0.06;-0.32;0.12
119;45.00;16777215.00;185.09;2.27;0.14;-0.72;0.01
120;40.00;0.00;161.50;1.79;0.02;-1.17;0.08
121;0.00;16777215.00;140.60;1.09;-0.03;-0.88;0.22
122;0.00;16777215.00;114.12;0.52;0.17;-1.02;0.11
123;0.00;0.00;73.37;0.12;-0.10;-1.03;0.07
124;0.00;16777215.00;43.97;0.12;-0.07;-1.15;0.00
125;0.00;16777215.00;27.90;0.12;-0.07;-1.04;0.00
126;0.00;0.00;18.59;0.12;-0.06;-1.03;0.02
127;0.00;16777215.00;12.61;0.12;-0.13;-1.05;0.01
128;0.00;16777215.00;8.86;0.12;-0.02;-1.03;0.00
129;0.00;0.00;6.78;0.12;0.02;-1.04;0.07
130;0.00;16777215.00;5.24;0.12;-0.02;-1.04;0.04
131;0.00;16777215.00;3.81;0.12;-0.04;-1.03;0.00
132;0.00;0.00;2.84;0.12;-0.00;-1.04;0.00
133;0.00;16777215.00;2.10;0.12;-0.00;-1.04;0.02
134;0.00;16777215.00;1.55;0.12;-0.02;-1.04;0.07
135;0.00;0.00;1.22;0.12;-0.02;-1.04;0.00
136;0.00;16777215.00;0.80;0.12;-0.00;-1.04;0.03
137;0.00;16777215.00;0.51;0.12;-0.01;-1.04;0.00
138;0.00;0.00;0.07;0.12;-0.02;-1.04;0.01
139;0.00;16777215.00;-0.08;0.12;-0.02;-1.04;0.01
140;0.00;16777215.00;-0.05;0.12;-0.01;-1.03;0.00
141;0.00;0.00;0.11;0.12;-0.00;-1.04;0.00
142;0.00;16777215.00;0.15;0.12;-0.02;-1.04;0.01
143;0.00;16777215.00;0.03;0.12;-0.01;-1.05;0.02
144;0.00;0.00;0.11;0.12;-0.01;-1.04;0.01
145;0.00;16777215.00;0.10;0.12;-0.01;-1.04;0.01
146;0.00;16777215.00;0.08;0.12;-0.01;-1.04;0.01
147;0.00;0.00;0.26;0.12;-0.01;-1.04;0.01
148;0.00;16777215.00;0.17;0.12;-0.01;-1.04;0.01
149;0.00;0.00;0.25;0.12;-0.01;-1.05;0.01
150;0.00;0.00;0.12;0.12;-0.01;-1.04;0.01
151;0.00;16777215.00;-0.00;0.12;-0.01;-1.04;0.01
152;0.00;0.00;0.29;0.12;-0.01;-1.04;0.01
153;0.00;0.00;0.28;0.12;-0.01;-1.04;0.01
154;0.00;16777215.00;0.22;0.12;-0.01;-1.04;0.01
155;0.00;0.00;0.14;0.12;-0.01;-1.04;0.01
156;0.00;0.00;-0.00;0.12;-0.01;-1.04;0.01
157;0.00;16777215.00;0.19;0.12;-0.01;-1.04;0.02
158;0.00;0.00;0.23;0.12;-0.01;-1.04;0.01
159;0.00;0.00;0.04;0.12;-0.01;-1.04;0.01
160;0.00;16777215.00;-0.01;0.12;-0.01;-1.04;0.01
161;0.00;0.00;0.06;0.12;-0.01;-1.04;0.01
162;0.00;0.00;0.14;0.12;-0.01;-1.03;0.01
163;0.00;16777215.00;0.36;0.12;-0.01;-1.04;0.01
164;0.00;0.00;0.33;0.12;-0.01;-1.04;0.01
165;0.00;0.00;0.21;0.12;-0.01;-1.04;0.01
166;0.00;16777215.00;0.23;0.12;-0.01;-1.04;0.01
167;0.00;0.00;0.01;0.12;-0.00;-1.04;0.02
168;0.00;0.00;-0.17;0.12;-0.01;-1.05;0.02
169;0.00;16777215.00;0.14;0.12;-0.01;-1.03;0.02
170;0.00;0.00;0.19;0.12;-0.01;-1.04;0.01
171;0.00;0.00;0.23;0.12;-0.01;-1.04;0.02
172;0.00;16777215.00;0.01;0.12;-0.01;-1.04;0.01
173;0.00;0.00;0.10;0.12;-0.00;-1.04;0.01
174;0.00;0.00;0.15;0.12;-0.01;-1.04;0.01
175;0.00;16777215.
