Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;-91.00;-0.08;-0.00;-1.04;-0.00
1;0.00;-109.00;-0.12;-0.01;-1.04;-0.01
2;0.00;-111.00;-0.16;-0.00;-1.04;-0.01
3;0.00;-81.00;-0.12;-0.01;-1.04;-0.00
4;0.00;-79.00;-0.12;-0.01;-1.04;-0.01
5;0.00;-89.00;-0.12;-0.00;-1.04;-0.01
6;0.00;-94.00;-0.12;-0.01;-1.04;-0.00
7;0.00;-100.00;-0.12;-0.00;-1.04;-0.00
8;0.00;-135.00;-0.12;-0.00;-1.04;-0.01
9;0.00;-60.00;-0.12;-0.01;-1.04;-0.01
10;0.00;-90.00;-0.12;-0.01;-1.04;-0.01
11;0.00;-108.00;-0.12;-0.00;-1.04;-0.01
12;0.00;-94.00;-0.12;-0.01;-1.04;-0.01
13;0.00;-77.00;-0.12;-0.01;-1.04;-0.00
14;0.00;-56.00;-0.12;-0.00;-1.04;-0.01
15;0.00;-94.00;-0.12;-0.01;-1.04;-0.01
16;0.00;-111.00;-0.12;-0.01;-1.04;-0.01
17;0.00;-108.00;-0.12;-0.01;-1.04;-0.01
18;0.00;-124.00;-0.12;-0.00;-1.04;-0.00
19;0.00;-112.00;-0.12;-0.01;-1.04;-0.00
20;0.00;-117.00;-0.12;-0.01;-1.04;-0.01
21;0.00;-148.00;-0.12;-0.01;-1.04;-0.01
22;0.00;-81.00;-0.12;-0.00;-1.04;-0.01
23;0.00;-56.00;-0.12;-0.00;-1.04;-0.01
24;0.00;-113.00;-0.12;-0.00;-1.03;-0.00
25;0.00;-178.00;-0.12;-0.01;-1.04;-0.00
26;0.00;-171.00;-0.12;-0.01;-1.04;-0.01
27;0.00;-143.00;-0.12;-0.01;-1.05;-0.01
28;0.00;-122.00;-0.12;-0.00;-1.03;-0.00
29;0.00;-122.00;-0.12;-0.01;-1.04;-0.00
30;0.00;-124.00;-0.12;-0.01;-1.04;-0.01
31;0.00;-102.00;-0.12;-0.00;-1.04;-0.00
32;0.00;-40.00;-0.12;-0.01;-1.04;-0.01
33;0.00;-97.00;-0.12;-0.00;-1.04;-0.01
34;0.00;-133.00;-0.12;-0.00;-1.04;-0.00
35;0.00;-93.00;-0.12;-0.01;-1.04;-0.01
36;0.00;-94.00;-0.12;-0.01;-1.04;-0.00
37;0.00;-98.00;-0.12;-0.01;-1.04;-0.01
38;0.00;-120.00;-0.12;-0.01;-1.04;-0.01
39;0.00;-117.00;-0.12;-0.00;-1.04;-0.00
40;0.00;-99.00;-0.12;-0.01;-1.04;-0.00
41;0.00;-81.00;-0.12;-0.01;-1.04;-0.01
42;0.00;-105.00;-0.12;-0.01;-1.04;-0.01
43;0.00;-79.00;-0.12;-0.00;-1.04;-0.00
44;0.00;-111.00;-0.12;-0.01;-1.04;-0.01
45;0.00;-154.00;-0.12;-0.01;-1.04;-0.00
46;0.00;-135.00;-0.12;-0.01;-1.04;-0.01
47;0.00;-62.00;-0.12;-0.01;-1.04;-0.00
48;0.00;-72.00;-0.12;-0.01;-1.04;-0.01
49;0.00;-100.00;-0.12;-0.01;-1.04;-0.01
50;0.00;-109.00;-0.12;-0.01;-1.04;-0.01
51;0.00;-125.00;-0.12;-0.01;-1.05;-0.01
52;0.00;-97.00;-0.12;-0.01;-1.04;-0.00
53;0.00;-87.00;-0.12;-0.01;-1.04;-0.01
54;0.00;-90.00;-0.12;-0.01;-1.04;-0.00
55;0.00;-76.00;-0.12;-0.01;-1.04;-0.01
56;0.00;-128.00;-0.12;-0.01;-1.04;-0.01
57;0.00;-129.00;-0.12;-0.00;-1.04;-0.00
58;0.00;-131.00;-0.12;-0.01;-1.04;-0.01
59;0.00;-119.00;-0.12;-0.01;-1.04;-0.01
