Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;-1.00;0.47;-0.00;-0.00;-1.04;-0.01
1;-1.00;0.60;-0.00;-0.01;-1.05;-0.01
2;0.00;0.42;-0.01;-0.00;-1.04;-0.01
3;0.00;0.28;-0.01;-0.00;-1.04;-0.01
4;0.00;0.45;-0.02;-0.00;-1.04;-0.01
5;0.00;0.43;-0.02;-0.00;-1.04;-0.01
6;0.00;0.50;-0.02;-0.00;-1.04;-0.00
7;0.00;0.60;-0.03;-0.00;-1.04;-0.01
8;0.00;0.67;-0.03;-0.00;-1.04;-0.01
9;0.00;0.72;-0.04;-0.00;-1.03;-0.01
10;0.00;0.64;-0.03;0.04;-1.03;0.12
11;0.00;0.81;-0.02;0.02;-1.03;0.08
12;0.00;3.83;-0.01;0.15;-0.95;-0.03
13;0.00;11.98;-0.00;0.04;-1.05;-0.04
14;0.00;21.42;0.00;0.08;-1.07;-0.01
15;0.00;28.36;0.00;0.06;-1.02;0.01
16;0.00;32.05;0.01;-0.12;-0.98;-0.01
17;0.00;33.94;0.02;0.04;-1.05;-0.03
18;0.00;35.19;0.03;0.03;-1.08;-0.00
19;0.00;35.87;0.04;-0.07;-0.96;-0.00
20;0.00;36.42;0.06;0.11;-1.00;-0.06
21;0.00;37.97;0.12;0.16;-1.00;-0.08
22;0.00;46.41;0.18;0.14;-1.23;-0.03
23;0.00;69.16;0.23;0.15;-0.76;-0.11
24;0.00;96.11;0.28;0.05;-0.91;-0.14
25;0.00;111.46;0.32;-0.03;-0.95;-0.01
26;0.00;115.44;0.35;-0.10;-0.88;0.00
27;0.00;116.14;0.41;-0.01;-0.91;-0.00
28;0.00;115.84;0.45;-0.08;-1.07;0.07
29;0.00;115.59;0.50;-0.12;-0.91;0.06
30;0.00;115.72;0.55;-0.16;-1.07;0.08
31;0.00;115.71;0.61;-0.10;-1.12;0.12
32;0.00;116.05;0.68;0.28;-0.85;-0.16
33;0.00;122.31;0.76;-0.10;-1.37;0.25
34;0.00;135.53;0.83;-0.40;-1.30;0.01
35;0.00;147.26;0.89;-0.28;-0.89;-0.40
36;0.00;151.86;0.97;0.15;-0.68;-0.54
37;0.00;151.62;1.05;0.30;-0.81;-0.19
38;0.00;151.43;1.13;0.26;-1.02;0.34
39;0.00;151.72;1.19;0.31;-1.11;0.54
40;0.00;153.17;1.31;0.55;-0.52;0.31
41;0.00;164.23;1.41;0.86;-1.17;0.29
42;0.00;187.61;1.50;0.66;-1.69;-0.09
43;0.00;202.68;1.60;0.34;-1.73;-0.22
44;0.00;207.11;1.68;-0.03;-1.65;-0.28
45;0.00;207.61;1.78;-0.52;-1.83;-0.25
46;0.00;208.02;1.86;-0.65;-1.73;-0.24
47;0.00;209.75;2.00;0.73;-1.53;-0.14
48;0.00;218.00;2.13;-0.45;-0.43;0.09
49;0.00;230.77;2.24;0.62;-1.45;-0.01
50;0.00;238.42;2.37;-0.57;-0.50;0.03
51;1.00;239.91;2.42;0.63;-1.55;-0.06
52;2.00;239.91;2.48;-0.45;-0.57;0.03
53;3.00;239.36;2.59;0.58;-1.05;-0.01
54;4.00;244.80;2.73;-0.16;-0.39;0.04
55;5.00;265.25;2.86;-0.89;-1.09;-0.05
56;6.00;281.72;2.97;1.17;-1.36;-0.01
57;7.00;285.16;3.09;-0.21;-0.65;0.11
58;8.00;284.51;3.21;-0.84;-1.16;-0.01
59;9.00;283.02;3.34;1.13;-1.04;-0.07
60;10.00;283.08;3.50;-0.87;-1.06;-0.10
61;11.00;291.98;3.67;-1.12;-1.20;0.02
62;12.00;314.56;3.83;-0.69;-0.80;-0.06
63;13.00;332.84;3.97;0.44;-1.16;0.03
64;14.00;339.16;4.11;1.39;-1.24;-0.04
65;15.00;340.70;4.29;1.12;-1.56;-0.07
66;16.00;341.66;4.42;0.00;-1.17;-0.00
67;17.00;341.39;4.62;-1.36;-0.58;0.03
68;18.00;344.88;4.77;1.42;-1.56;-0.04
69;19.00;359.53;4.97;-1.29;-0.52;0.05
70;20.00;369.62;5.12;0.35;-1.52;-0.06
71;21.00;370.76;5.26;0.30;-0.93;-0.02
72;22.00;369.48;5.38;-1.02;-0.65;0.10
73;23.00;370.52;5.53;1.30;-1.44;-0.04
74;24.00;372.25;5.71;-1.48;-1.01;0.07
75;25.00;373.69;5.87;-1.58;-0.81;0.02
76;26.00;388.23;6.08;-1.53;-0.97;0.02
77;27.00;406.50;6.22;-1.22;-1.03;0.00
78;28.00;412.82;6.35;-0.64;-0.87;0.00
79;29.00;415.38;6.54;0.17;-0.82;0.01
80;30.00;415.63;6.67;0.39;-0.03;-0.06
81;31.00;414.79;6.86;0.98;-0.47;-0.12
