Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;2796556.00;0.76;0.24;0.00;-1.00;0.00
1;0.00;2882668.00;0.65;0.24;0.00;-1.00;0.00
2;1.00;2968804.00;0.52;0.24;0.00;-1.00;0.00
3;1.00;3054904.00;0.53;0.24;0.00;-1.00;0.00
4;2.00;3141004.00;0.53;0.32;0.04;-0.99;0.00
5;2.00;3227132.00;0.64;0.40;0.00;-1.00;0.02
6;3.00;3313256.00;1.57;0.44;-0.01;-0.99;0.00
7;3.00;3399364.00;3.89;0.40;0.02;-0.97;0.02
8;4.00;3485488.00;6.65;0.36;-0.00;-1.00;0.01
9;5.00;3571584.00;9.42;0.40;-0.16;-0.96;0.04
10;5.00;3657708.00;12.50;0.44;0.01;-1.07;0.02
11;6.00;3743820.00;15.41;0.48;0.28;-1.07;0.07
12;6.00;3829944.00;18.33;0.48;0.00;-1.03;0.07
13;7.00;3916048.00;21.32;0.48;-0.08;-1.08;0.10
14;7.00;4002156.00;24.17;0.52;-0.09;-1.00;0.16
15;8.00;4088280.00;27.00;0.56;-0.15;-1.05;0.09
16;8.00;4174388.00;29.86;0.61;-0.01;-0.99;0.12
17;9.00;4260508.00;32.83;0.61;0.13;-0.97;0.01
18;10.00;4346636.00;35.65;0.61;-0.11;-1.07;0.08
19;10.00;4432752.00;38.41;0.65;0.08;-1.06;0.00
20;11.00;4518872.00;41.45;0.69;0.03;-1.01;0.07
21;11.00;4604996.00;44.48;0.73;-0.06;-1.02;0.01
22;12.00;4691120.00;47.39;0.77;-0.18;-1.00;0.00
23;12.00;4777220.00;50.49;0.77;-0.23;-0.95;0.01
24;13.00;4863316.00;53.60;0.81;0.07;-0.83;0.05
