Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;3736852.00;0.64;0.24;0.00;-1.00;0.00
1;0.00;3822968.00;0.47;0.24;0.00;-0.99;0.00
2;0.00;3909096.00;0.39;0.24;-0.00;-1.00;0.00
3;0.00;3995208.00;0.52;0.24;0.00;-0.99;0.00
4;0.00;4081340.00;0.57;0.24;0.00;-1.00;0.01
5;0.00;4167464.00;0.58;0.24;0.00;-1.00;0.00
6;0.00;4253580.00;0.55;0.24;0.00;-1.00;0.00
7;0.00;4339700.00;0.48;0.24;0.00;-1.00;0.00
8;0.00;4425820.00;0.55;0.24;0.00;-1.00;0.00
9;0.00;4511928.00;0.30;0.24;0.00;-0.99;0.00
10;0.00;4598060.00;0.29;0.24;0.01;-0.99;0.00
11;0.00;4684184.00;0.35;0.24;0.00;-1.00;0.01
12;0.00;4770296.00;0.41;0.24;0.00;-1.00;0.01
13;0.00;4856404.00;0.36;0.24;0.00;-0.99;0.00
14;0.00;4942540.00;0.42;0.24;0.00;-1.00;0.00
15;0.00;5028652.00;0.41;0.24;0.00;-1.00;0.00
16;0.00;5114760.00;0.41;0.24;0.00;-1.00;0.00
17;0.00;5200872.00;0.41;0.24;-0.00;-1.00;0.00
18;0.00;5286972.00;0.49;0.24;0.00;-1.00;0.00
19;0.00;5373088.00;0.54;0.24;0.00;-1.00;0.00
20;0.00;5459196.00;0.29;0.24;0.00;-1.00;0.00
21;0.00;5545308.00;0.36;0.24;0.00;-1.00;0.00
22;0.00;5631404.00;0.42;0.24;0.00;-1.00;0.00
23;0.00;5717524.00;0.51;0.24;0.00;-1.00;0.00
24;0.00;5803656.00;0.61;0.24;0.00;-1.00;0.00
