Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;5460704.00;0.43;0.12;0.00;-1.00;0.00
1;0.00;5546812.00;0.61;0.12;0.00;-1.00;0.00
2;0.00;5632928.00;0.70;0.12;0.00;-1.01;0.00
3;0.00;5719052.00;0.47;0.12;0.00;-1.00;0.00
4;1.00;5805172.00;0.50;0.12;0.00;-1.00;0.00
5;2.00;5891264.00;0.52;0.12;0.00;-1.00;0.00
6;3.00;5977392.00;0.54;0.12;0.00;-1.00;0.00
7;4.00;6063512.00;0.56;0.12;0.00;-1.00;0.00
8;5.00;6149648.00;0.51;0.12;0.00;-1.00;0.00
9;6.00;6235760.00;0.61;0.12;0.00;-1.00;0.00
10;7.00;6321872.00;0.47;0.12;0.00;-1.00;0.00
11;8.00;6407992.00;0.43;0.12;-0.00;-1.00;0.00
12;9.00;6494088.00;0.40;0.12;0.00;-0.99;0.00
13;10.00;6580208.00;0.50;0.12;0.00;-1.00;0.00
14;12.00;6752420.00;0.43;0.12;0.00;-1.00;0.00
15;13.00;6838544.00;0.52;0.12;0.01;-1.00;0.00
16;13.00;6924672.00;0.39;0.12;0.00;-1.00;0.00
17;14.00;7010776.00;0.50;0.12;0.00;-1.00;0.00
18;15.00;7096888.00;0.60;0.12;0.00;-1.00;0.00
19;16.00;7183012.00;0.66;0.12;-0.00;-1.00;0.00
20;17.00;7269120.00;0.53;0.12;0.00;-1.00;0.00
21;18.00;7355224.00;0.71;0.12;0.00;-0.99;0.01
22;19.00;7441344.00;0.80;0.12;-0.00;-1.01;0.00
23;20.00;7527452.00;0.55;0.12;0.00;-1.00;0.00
24;21.00;7613560.00;0.33;0.12;0.00;-1.00;0.00
25;22.00;7699668.00;0.60;0.12;0.00;-1.00;0.00
26;23.00;7785808.00;0.70;0.12;0.00;-1.00;0.00
27;24.00;7871892.00;0.80;0.12;0.00;-0.99;0.00
28;25.00;7958024.00;0.60;0.12;0.00;-1.00;0.00
29;26.00;8044144.00;0.48;0.12;0.00;-0.99;0.00
30;27.00;8130248.00;0.60;0.12;-0.00;-1.00;0.00
31;28.00;8216356.00;0.47;0.24;0.04;-0.98;0.01
32;29.00;8302472.00;0.42;0.40;0.00;-1.00;0.03
33;30.00;8388624.00;2.34;0.53;-0.07;-1.01;0.01
34;31.00;8474716.00;9.39;0.57;0.18;-1.02;0.08
35;32.00;8560824.00;19.59;0.61;-0.12;-1.05;0.00
36;33.00;8646968.00;32.75;0.73;0.03;-1.12;0.05
37;34.00;8733064.00;46.30;0.81;-0.02;-1.07;0.03
38;35.00;8819204.00;58.21;1.01;-0.38;-1.10;0.03
39;36.00;8905320.00;73.06;1.26;0.18;-0.73;0.01
40;37.00;8991444.00;91.69;1.54;0.27;-0.97;0.03
41;38.00;9077576.00;111.79;1.67;-0.33;-1.33;0.04
42;39.00;9163688.00;131.79;1.99;-0.29;-1.43;0.02
43;40.00;9249812.00;150.73;2.19;-0.25;-1.46;0.10
44;41.00;9335932.00;173.28;2.56;-0.53;-1.22;0.03
45;42.00;9422044.00;197.17;2.68;-0.88;-1.61;0.02
46;43.00;9508172.00;220.43;3.29;0.73;-0.54;0.05
47;45.00;9680424.00;267.76;5.33;-1.11;-1.00;0.02
48;46.00;9766536.00;297.27;6.34;-0.95;-1.03;0.00
49;46.00;9852668.00;330.11;6.83;-1.26;-0.90;0.04
50;47.00;9938796.00;354.97;7.04;0.20;-1.52;0.09
51;48.00;10024912.00;365.55;7.44;-0.41;-0.62;0.05
52;49.00;10111012.00;382.81;8.38;-0.08;-0.78;0.00
53;50.00;10197160.00;409.62;9.36;-1.22;-1.05;0.11
54;51.00;10283256.00;442.82;9.56;-0.57;-0.53;0.03
55;52.00;10369384.00;475.86;9.76;1.47;-0.82;0.10
56;53.00;10455504.00;486.85;9.80;-1.22;-1.07;0.06
57;54.00;10541620.00;487.54;10.37;-0.50;-0.46;0.04
58;55.00;10627748.00;487.32;10.54;1.34;-0.62;0.05
59;56.00;10713848.00;486.63;10.41;-0.88;-1.17;0.08
60;57.00;10799960.00;486.37;9.88;-0.24;-0.24;0.17
61;58.00;10886112.00;487.03;9.68;1.39;-0.92;0.02
