Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;0.45;0.00;-0.00;-1.04;-0.01
1;0.00;0.49;0.00;-0.01;-1.04;-0.01
2;0.00;0.46;0.00;-0.00;-1.04;-0.00
3;0.00;0.45;0.00;-0.01;-1.05;-0.01
4;0.00;0.36;0.00;-0.00;-1.04;-0.00
5;0.00;0.42;0.00;-0.01;-1.03;-0.00
6;0.00;0.55;0.00;-0.01;-1.04;-0.00
7;0.00;0.64;0.00;-0.01;-1.04;-0.00
8;0.00;0.59;0.00;-0.01;-1.04;-0.01
9;0.00;0.58;0.00;-0.01;-1.05;-0.01
10;0.00;0.44;0.00;-0.00;-1.04;-0.00
11;0.00;0.49;0.00;-0.01;-1.04;-0.01
12;0.00;0.67;0.00;-0.01;-1.04;-0.01
13;0.00;0.45;0.00;-0.01;-1.04;-0.01
14;0.00;0.49;0.00;-0.00;-1.04;-0.00
15;0.00;0.34;0.00;-0.01;-1.04;-0.01
16;0.00;0.38;0.00;-0.00;-1.04;-0.00
17;0.00;0.48;0.00;-0.00;-1.04;-0.00
18;0.00;0.55;0.00;-0.00;-1.04;-0.01
19;0.00;0.46;0.00;-0.00;-1.04;-0.00
20;0.00;0.40;0.00;-0.01;-1.04;-0.01
21;0.00;0.54;0.00;-0.00;-1.04;-0.01
22;0.00;0.60;0.00;-0.01;-1.04;-0.01
23;0.00;0.54;-0.01;-0.01;-1.04;-0.01
24;0.00;0.62;-0.01;-0.01;-1.04;-0.00
25;0.00;0.60;-0.01;-0.01;-1.04;-0.01
26;0.00;0.48;-0.01;-0.01;-1.04;-0.01
27;0.00;0.64;-0.01;-0.00;-1.05;-0.00
28;0.00;0.68;-0.01;-0.01;-1.04;-0.00
29;0.00;0.47;-0.01;-0.01;-1.04;-0.00
30;0.00;0.48;-0.01;-0.01;-1.06;-0.01
31;0.00;0.61;-0.01;-0.01;-1.04;-0.01
32;0.00;0.53;-0.01;-0.01;-1.04;-0.01
33;0.00;0.46;0.00;-0.01;-1.04;-0.01
34;0.00;0.62;0.00;-0.01;-1.04;-0.01
35;0.00;0.52;0.00;-0.01;-1.04;-0.01
36;0.00;0.44;0.00;-0.01;-1.04;-0.00
37;0.00;0.38;0.00;-0.01;-1.04;-0.00
38;0.00;0.53;0.00;-0.01;-1.04;-0.00
39;0.00;0.60;0.00;-0.01;-1.04;-0.01
40;0.00;0.70;0.00;-0.01;-1.04;-0.01
41;0.00;0.69;0.00;-0.01;-1.04;-0.01
42;0.00;0.62;0.00;-0.00;-1.04;-0.01
43;0.00;0.51;0.00;-0.00;-1.03;-0.00
44;0.00;0.50;0.00;-0.01;-1.04;-0.00
45;0.00;0.47;0.00;-0.01;-1.04;-0.01
46;0.00;0.45;0.00;-0.01;-1.04;-0.01
47;0.00;0.42;0.00;-0.00;-1.04;-0.01
48;0.00;0.56;0.00;-0.01;-1.04;-0.01
49;0.00;0.58;0.00;-0.01;-1.04;-0.01
50;0.00;0.60;0.00;-0.01;-1.04;-0.01
51;0.00;0.45;0.00;-0.01;-1.04;-0.01
52;0.00;0.26;0.00;-0.01;-1.04;-0.00
53;0.00;0.20;0.00;-0.01;-1.04;-0.00
54;0.00;0.49;0.00;-0.01;-1.05;-0.01
55;0.00;0.61;0.00;-0.01;-1.03;-0.00
56;0.00;0.69;0.00;-0.01;-1.04;-0.00
57;0.00;0.58;0.00;-0.00;-1.04;-0.01
58;0.00;0.55;0.00;-0.01;-1.04;-0.00
59;0.00;0.54;0.00;-0.00;-1.04;-0.00
60;0.00;0.60;0.00;-0.01;-1.04;-0.00
61;0.00;0.63;0.00;-0.01;-1.04;-0.01
62;0.00;0.53;0.00;-0.00;-1.04;-0.00
63;0.00;0.46;0.00;-0.00;-1.04;-0.01
64;0.00;0.52;0.00;-0.00;-1.04;-0.00
65;0.00;0.55;0.00;-0.01;-1.04;-0.01
66;0.00;0.43;0.00;-0.01;-1.04;-0.00
67;0.00;0.37;0.00;-0.01;-1.04;-0.01
68;0.00;0.42;0.00;-0.00;-1.04;-0.01
69;0.00;0.65;0.00;-0.01;-1.04;-0.01
70;0.00;0.62;0.00;-0.00;-1.04;-0.01
71;0.00;0.49;0.00;-0.01;-1.04;-0.00
72;40.00;0.46;0.00;-0.00;-1.04;-0.00
73;45.00;0.35;0.01;-0.01;-1.03;-0.01
74;50.00;0.46;0.03;0.01;-1.01;-0.03
75;55.00;0.59;0.05;0.01;-1.02;-0.02
76;60.00;1.61;0.08;-0.11;-1.01;-0.01
77;65.00;6.36;0.13;-0.07;-0.95;-0.00
78;70.00;14.94;0.19;0.10;-0.99;-0.00
79;75.00;27.13;0.27;0.19;-0.81;-0.04
80;80.00;42.04;0.36;-0.10;-1.08;-0.03
81;85.00;60.08;0.52;-0.04;-0.89;-0.04
82;90.00;77.97;0.67;-0.27;-1.07;0.15
83;95.00;98.37;0.86;0.33;-0.63;-0.40
84;100.00;123.14;1.14;0.62;-0.77;0.25
85;105.00;146.29;1.44;-0.52;-1.53;0.01
86;110.00;171.31;1.82;-0.64;-1.39;-0.14
87;115.00;201.20;2.28;0.24;-0.74;-0.04
88;120.00;230.66;2.77;-0.68;-0.49;-0.00
89;125.00;259.75;3.35;1.17;-0.97;-0.09
90;130.00;293.42;3.99;0.52;-0.66;-0.06
91;135.00;327.47;4.72;-0.00;-1.00;-0.18
92;140.00;364.43;5.50;-0.10;-0.87;-0.10
93;140.00;396.03;6.25;0.97;-0.95;-0.14
94;135.00;416.04;6.81;1.21;-1.25;-0.13
95;130.00;416.75;7.27;-1.30;-0.98;0.00
96;125.00;399.77;7.44;0.03;-1.12;-0.02
97;120.00;366.71;7.41;-0.97;-0.54;-0.01
98;115.00;330.89;7.32;-0.48;-1.18;-0.05
99;110.00;301.78;7.06;-0.52;-0.76;0.14
100;105.00;271.37;6.61;-0.94;-1.39;-0.11
101;100.00;235.22;5.98;0.19;-0.32;0.06
102;95.00;208.25;5.23;-0.49;-1.42;-0.24
103;90.00;181.31;4.42;0.14;-0.73;-0.20
104;85.00;152.74;3.66;0.28;-0.68;-0.19
105;80.00;129.70;2.98;0.06;-0.83;-0.06
106;75.00;110.57;2.46;0.18;-1.14;0.05
107;70.00;93.79;2.04;-0.23;-0.91;-0.13
108;65.00;76.43;1.61;0.15;-1.07;-0.07
109;60.00;63.24;1.24;0.07;-0.99;0.05
110;55.00;51.90;0.97;-0.16;-1.03;-0.08
111;50.00;41.18;0.73;-0.09;-1.07;-0.06
112;45.00;31.84;0.55;0.00;-1.07;0.00
113;40.00;23.89;0.41;-0.12;-1.02;-0.00
114;0.00;17.13;0.30;-0.15;-1.05;0.02
115;0.00;12.10;0.22;-0.06;-1.03;0.00
116;0.00;8.85;0.14;0.11;-1.03;-0.06
117;0.00;6.59;0.09;0.03;-1.05;-0.05
118;0.00;4.90;0.06;-0.05;-1.05;0.00
119;0.00;3.84;0.02;-0.05;-1.06;0.02
120;0.00;3.13;0.01;-0.01;-1.03;0.00
121;0.00;2.37;0.00;0.01;-1.04;-0.03
122;0.00;1.82;0.00;0.01;-1.02;0.04
123;0.00;1.51;0.00;-0.01;-1.02;0.02
124;0.00;1.15;0.00;-0.03;-1.03;-0.01
125;0.00;0.93;0.00;-0.03;-1.03;-0.03
126;0.00;0.84;0.00;-0.00;-1.05;-0.05
127;0.00;0.73;0.00;-0.00;-1.03;-0.00
