Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1810.00;0.41;0.04;-0.01;-1.04;0.01
1;0.00;1896.00;0.38;0.08;-0.01;-1.04;0.01
2;0.00;1982.00;0.36;0.12;-0.01;-1.04;0.01
3;0.00;2068.00;0.29;0.12;-0.02;-1.04;0.01
4;0.00;2154.00;0.30;0.12;-0.01;-1.04;0.01
5;0.00;2240.00;0.46;0.12;-0.01;-1.04;0.01
6;0.00;2326.00;0.47;0.12;-0.01;-1.04;0.01
7;0.00;2413.00;0.58;0.12;-0.01;-1.05;0.01
8;0.00;2499.00;0.52;0.12;-0.01;-1.04;0.01
9;0.00;2585.00;0.33;0.12;-0.01;-1.04;0.01
10;0.00;2671.00;0.32;0.12;-0.01;-1.04;0.01
11;0.00;2757.00;0.26;0.12;-0.00;-1.04;0.01
12;0.00;2843.00;0.33;0.12;-0.01;-1.04;0.01
13;0.00;2929.00;0.46;0.12;-0.01;-1.04;0.01
14;0.00;3015.00;0.62;0.12;-0.01;-1.04;0.01
15;0.00;3101.00;0.60;0.12;-0.01;-1.04;0.01
16;0.00;3187.00;0.58;0.12;-0.01;-1.04;0.02
17;0.00;3274.00;0.53;0.12;-0.01;-1.04;0.01
18;0.00;3360.00;0.56;0.12;-0.01;-1.04;0.01
19;0.00;3446.00;0.48;0.12;-0.01;-1.04;0.01
20;0.00;3532.00;0.37;0.12;-0.01;-1.04;0.01
21;0.00;3618.00;0.18;0.12;-0.01;-1.04;0.02
22;0.00;3704.00;0.40;0.12;-0.01;-1.04;0.01
23;0.00;3790.00;0.58;0.12;-0.01;-1.04;0.01
24;0.00;3876.00;0.45;0.12;-0.01;-1.04;0.01
25;0.00;3962.00;0.43;0.12;-0.01;-1.04;0.01
26;0.00;4049.00;0.36;0.12;-0.01;-1.04;0.01
27;0.00;4135.00;0.42;0.12;-0.00;-1.04;0.01
28;0.00;4221.00;0.47;0.12;-0.01;-1.04;0.01
29;0.00;4307.00;0.23;0.12;-0.01;-1.04;0.01
30;0.00;4393.00;0.41;0.12;-0.00;-1.04;0.01
31;0.00;4480.00;0.41;0.12;-0.01;-1.06;0.01
32;0.00;4566.00;0.32;0.12;-0.01;-1.04;0.01
