Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;3184144.00;0.69;0.24;-0.00;-1.04;0.00
1;9.00;3270260.00;0.51;0.69;-0.01;-1.00;0.08
2;9.00;3356368.00;2.25;0.81;0.01;-0.99;0.00
3;9.00;3442480.00;13.38;0.89;0.04;-1.07;0.10
4;9.00;3528580.00;26.23;0.56;0.06;-0.95;0.02
5;9.00;3614692.00;33.53;0.56;-0.19;-1.04;0.04
6;9.00;3700800.00;37.33;0.61;0.20;-1.06;0.02
7;9.00;3786916.00;39.67;0.61;-0.12;-1.04;0.01
8;9.00;3873016.00;40.99;0.61;0.18;-1.02;0.03
9;9.00;3959116.00;41.74;0.61;-0.15;-1.09;0.00
10;19.00;4045216.00;42.33;0.89;0.30;-0.93;0.08
11;19.00;4131348.00;53.82;1.13;-0.31;-1.33;0.07
12;19.00;4217448.00;86.06;1.38;0.34;-0.53;0.01
13;19.00;4303556.00;103.84;1.26;-0.05;-0.78;0.00
14;19.00;4389672.00;107.60;1.30;-0.28;-0.60;0.01
15;29.00;4475772.00;108.86;1.99;0.33;-0.92;0.14
16;29.00;4561884.00;132.75;2.72;0.48;-1.02;0.08
17;29.00;4647992.00;185.11;3.13;-0.54;-1.13;0.02
18;29.00;4734088.00;205.91;3.01;-0.63;-1.34;0.00
19;29.00;4820200.00;208.45;2.76;0.22;-1.02;0.06
20;29.00;4906288.00;208.69;2.88;0.54;-0.72;0.02
21;39.00;4992404.00;209.79;4.15;0.35;-1.28;0.12
22;39.00;5078512.00;238.95;5.16;-1.03;-1.65;0.01
23;39.00;5164600.00;308.78;6.18;-0.70;-0.76;0.08
24;39.00;5250712.00;335.84;6.18;0.42;-0.28;0.12
25;49.00;5336824.00;339.99;7.73;1.02;-0.44;0.29
26;49.00;5422932.00;379.64;9.07;0.50;-1.32;0.30
27;49.00;5509040.00;460.88;10.17;-1.62;-1.34;0.27
28;49.00;5595160.00;488.02;10.17;0.39;-0.17;0.00
29;49.00;5681244.00;489.61;10.00;1.40;-0.98;0.23
30;59.00;5767348.00;488.65;9.64;-1.42;-1.44;0.39
31;59.00;5853472.00;487.11;9.96;-0.72;-0.66;0.03
32;59.00;5939564.00;486.92;9.92;1.36;-0.64;0.23
33;59.00;6025676.00;486.49;10.13;-0.50;-1.24;0.28
34;59.00;6111780.00;485.98;9.72;-1.35;-0.85;0.15
35;59.00;6197888.00;485.18;9.60;0.95;-0.51;0.36
36;69.00;6284004.00;484.39;9.92;0.40;-1.13;0.37
37;69.00;6370116.00;484.35;10.09;-1.48;-1.27;0.03
38;69.00;6456224.00;484.12;10.13;0.95;-0.52;0.28
39;69.00;6542344.00;483.89;9.88;0.72;-1.02;0.23
