Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;5248140.00;0.25;0.24;-0.00;-1.00;0.01
1;0.00;5334244.00;0.52;0.24;-0.00;-1.00;0.00
2;0.00;5420368.00;0.53;0.24;-0.00;-1.00;0.00
3;0.00;5506440.00;0.61;0.24;-0.00;-0.99;0.00
4;0.00;5592552.00;0.45;0.24;0.00;-0.99;0.00
5;0.00;5678676.00;0.45;0.24;-0.00;-0.99;0.00
6;0.00;5764792.00;0.46;0.24;0.00;-1.00;0.00
7;0.00;5850900.00;0.43;0.24;0.00;-0.99;0.00
8;0.00;5937032.00;0.40;0.24;0.00;-1.00;0.00
9;0.00;6023120.00;0.07;0.24;0.00;-0.99;0.00
10;0.00;6109244.00;0.22;0.24;-0.00;-0.99;0.00
11;0.00;6195364.00;0.44;0.24;0.00;-1.00;0.00
12;0.00;6281476.00;0.38;0.24;0.00;-1.00;0.00
13;0.00;6367568.00;0.23;0.24;0.00;-0.99;0.00
14;0.00;6453680.00;0.15;0.28;0.00;-0.99;0.00
15;0.00;6539784.00;0.43;0.28;0.00;-0.99;0.00
16;0.00;6712028.00;0.45;0.24;0.00;-1.00;0.00
17;0.00;6798112.00;0.41;0.24;0.00;-0.99;0.00
18;0.00;6884220.00;0.46;0.24;-0.00;-1.00;0.00
19;0.00;6970348.00;0.30;0.28;0.00;-1.00;0.00
20;0.00;7056436.00;0.32;0.28;0.00;-1.00;0.00
21;0.00;7142540.00;0.20;0.28;0.00;-1.00;0.00
22;0.00;7228648.00;0.19;0.24;-0.00;-1.00;0.00
23;0.00;7314744.00;0.32;0.24;0.00;-0.99;0.00
24;0.00;7400856.00;0.21;0.24;0.00;-1.00;0.00
25;0.00;7486968.00;0.24;0.24;0.00;-1.00;0.00
26;0.00;7573080.00;0.24;0.24;-0.00;-1.00;0.00
27;0.00;7659184.00;0.28;0.28;-0.00;-1.00;0.00
28;0.00;7745292.00;0.33;0.28;-0.00;-1.00;0.01
29;0.00;7831420.00;0.40;0.28;-0.00;-1.00;0.00
30;0.00;7917492.00;0.45;0.24;-0.00;-1.00;0.00
31;0.00;8003596.00;0.39;0.24;0.00;-0.99;0.00
32;0.00;8089720.00;0.47;0.24;0.00;-1.00;0.00
33;0.00;8175828.00;0.50;0.24;0.00;-1.00;0.00
34;0.00;8261936.00;0.46;0.24;0.00;-1.00;0.00
35;0.00;8348036.00;0.44;0.24;0.00;-1.00;0.00
36;0.00;8434168.00;0.44;0.24;0.00;-1.00;0.00
37;0.00;8520280.00;0.34;0.24;-0.00;-1.00;0.00
38;0.00;8606392.00;0.25;0.24;-0.00;-1.00;0.00
39;0.00;8692512.00;0.24;0.24;0.00;-1.00;0.00
40;0.00;8778588.00;0.38;0.24;0.00;-1.00;0.00
41;0.00;8864692.00;0.39;0.24;0.00;-0.99;0.00
42;0.00;8950816.00;0.40;0.24;-0.00;-1.00;0.00
43;0.00;9036924.00;0.42;0.24;-0.00;-1.00;0.00
44;0.00;9123032.00;0.39;0.28;0.00;-1.00;0.00
45;0.00;9209156.00;0.38;0.28;-0.00;-1.00;0.00
46;0.00;9295256.00;0.39;0.28;0.00;-1.00;0.00
47;0.00;9381372.00;0.25;0.24;0.00;-1.00;0.00
48;0.00;9467468.00;0.31;0.24;0.00;-1.00;0.00
49;0.00;9553584.00;0.42;0.24;-0.00;-0.99;0.00
50;0.00;9639712.00;0.39;0.24;-0.00;-1.00;0.00
