Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;180394.11
;88.50
;89.74
;89.41
;89.37
;89.52
1;89.78
;92.78
;98.77
;101.47
;102.86
;109.55
2;123.78
;145.67
;170.45
;192.79
;213.36
;234.37
3;261.51
;295.30
;331.39
;359.85
;388.33
;413.43
4;420.92
;421.67
;421.67
;420.98
;421.43
;421.16
5;420.35
;419.54
;418.77
;417.95
;418.19
;418.34
6;418.34
;419.32
;418.27
;402.15
;336.86
;247.05
7;115.65
;87.89
;62.03
;40.58
;26.55
;18.48
8;21.79
;66.53
;146.06
;191.19
;194.73
;158.20
9;108.10
;67.20
;41.31
;26.96
;18.22
;15.70
10;42.93
;130.62
;238.81
;292.84
;294.51
;252.49
11;178.41
;115.41
;69.51
;42.62
;27.93
;21.60
12;40.02
;103.18
;182.74
;239.74
;264.25
;268.49
13;269.79
;269.78
;263.00
;231.81
;176.38
;124.70
14;98.39
;86.83
;84.00
;97.35
;162.62
;271.70
15;368.92
;412.66
;411.07
;386.67
;340.63
;287.49
16;216.59
;143.98
;105.42
;82.98
;97.92
;184.30
17;298.23
;381.96
;410.01
;416.60
;418.82
;419.95
18;420.09
;418.99
;417.07
;416.59
;416.66
;415.90
19;414.29
;414.49
;414.80
;412.70
;412.15
;412.67
20;414.09
;414.40
;415.30
;416.30
;415.90
;413.67
21;412.92
;412.08
;412.21
;413.35
;412.96
;413.41
22;413.03
;413.11
;412.85
;412.34
;409.07
;376.23
23;312.08
;241.87
;170.09
;126.13
;99.91
;77.79
24;60.42
;49.31
;38.66
;28.21
;19.49
;13.99
25;10.00
;6.96
;5.05
;3.79
;2.61
;2.05
26;1.59
;1.09
;0.87
;0.74
;0.40
;0.27
27;0.37
;0.38
;0.60
;0.69
;0.59
;0.59
28;0.43
;0.35
;0.48
;0.45
;0.40
;0.60
29;0.59
;0.47
;0.32
;0.40
;0.32
