Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;-16777216.00;0.66;0.12;-0.01;-1.03;0.01
1;0.00;0.00;0.62;0.12;-0.01;-1.04;0.01
2;0.00;0.00;0.66;0.12;-0.01;-1.04;0.00
3;0.00;-16777216.00;0.65;0.12;-0.01;-1.04;0.00
4;0.00;0.00;0.63;0.12;-0.01;-1.04;0.01
5;0.00;0.00;0.66;0.12;-0.01;-1.04;0.01
6;0.00;-16777216.00;0.65;0.12;-0.01;-1.04;0.01
7;0.00;0.00;0.63;0.12;-0.01;-1.04;0.01
8;0.00;0.00;0.48;0.12;-0.01;-1.05;0.02
9;0.00;-16777216.00;0.53;0.12;-0.01;-1.04;0.01
10;0.00;0.00;0.64;0.16;-0.01;-1.05;0.02
11;0.00;0.00;0.76;0.16;-0.01;-1.04;0.01
12;0.00;-16777216.00;0.65;0.16;-0.01;-1.04;0.01
13;0.00;0.00;0.58;0.12;-0.01;-1.04;0.01
14;0.00;0.00;0.57;0.12;-0.01;-1.05;0.01
15;0.00;-16777216.00;0.66;0.12;-0.01;-1.04;0.01
16;0.00;0.00;0.54;0.12;-0.00;-1.04;0.00
17;0.00;0.00;0.70;0.12;-0.01;-1.04;0.02
18;0.00;-16777216.00;0.76;0.12;-0.01;-1.04;0.01
19;0.00;0.00;0.70;0.12;-0.01;-1.04;0.01
20;0.00;-16777216.00;0.74;0.12;-0.01;-1.05;0.01
21;0.00;-16777216.00;0.90;0.12;-0.01;-1.04;0.01
22;0.00;0.00;0.71;0.12;-0.01;-1.04;0.01
23;0.00;-16777216.00;0.50;0.12;-0.01;-1.04;0.01
24;0.00;-16777216.00;0.58;0.12;-0.01;-1.05;0.01
25;0.00;0.00;0.74;0.12;-0.01;-1.04;0.01
26;0.00;-16777216.00;0.67;0.12;-0.01;-1.04;0.01
27;0.00;-16777216.00;0.46;0.12;-0.01;-1.03;0.01
28;0.00;0.00;0.64;0.12;-0.01;-1.04;0.01
29;0.00;-16777216.00;0.75;0.12;-0.01;-1.04;0.01
30;0.00;-16777216.00;0.59;0.12;-0.01;-1.04;0.01
31;0.00;0.00;0.53;0.12;-0.01;-1.04;0.01
32;0.00;-16777216.00;0.60;0.12;-0.00;-1.04;0.00
33;0.00;-16777216.00;0.48;0.12;-0.01;-1.04;0.01
34;0.00;0.00;0.35;0.16;-0.01;-1.04;0.01
35;0.00;-16777216.00;0.57;0.16;-0.01;-1.04;0.01
36;0.00;-16777216.00;0.56;0.16;-0.01;-1.04;0.01
37;0.00;0.00;0.42;0.12;-0.01;-1.04;0.01
38;0.00;-16777216.00;0.49;0.12;-0.02;-1.04;0.01
39;0.00;-16777216.00;0.54;0.12;-0.01;-1.04;0.01
40;0.00;0.00;0.69;0.12;-0.01;-1.04;0.01
41;0.00;-16777216.00;0.84;0.12;-0.01;-1.04;0.01
42;0.00;-16777216.00;0.63;0.12;-0.01;-1.04;0.00
43;0.00;0.00;0.60;0.12;-0.01;-1.04;0.01
44;0.00;-16777216.00;0.55;0.16;-0.01;-1.04;0.01
45;0.00;-16777216.00;0.73;0.16;-0.02;-1.04;0.01
46;0.00;0.00;0.54;0.16;-0.01;-1.04;0.01
47;0.00;-16777216.00;0.40;0.12;-0.01;-1.04;0.02
48;0.00;-16777216.00;0.61;0.12;-0.01;-1.04;0.01
49;0.00;0.00;0.91;0.12;-0.01;-1.04;0.01
50;0.00;-16777216.00;0.80;0.12;-0.01;-1.04;0.01
51;0.00;-16777216.00;0.60;0.12;-0.01;-1.04;0.02
52;0.00;0.00;0.45;0.12;-0.01;-1.04;0.01
53;0.00;-16777216.00;0.40;0.12;-0.01;-1.04;0.01
54;0.00;-16777216.00;0.40;0.12;-0.01;-1.05;0.01
55;0.00;0.00;0.47;0.12;-0.01;-1.04;0.01
56;0.00;-16777216.00;0.51;0.12;-0.01;-1.04;0.01
57;0.00;-16777216.00;0.57;0.12;-0.01;-1.04;0.01
58;0.00;0.00;0.63;0.12;-0.00;-1.04;0.01
59;0.00;-16777216.00;0.61;0.12;-0.01;-1.04;0.01
60;0.00;-16777216.00;0.63;0.12;-0.01;-1.04;0.01
61;0.00;0.00;0.52;0.12;-0.01;-1.04;0.01
62;0.00;-16777216.00;0.77;0.12;-0.01;-1.04;0.01
63;0.00;-16777216.00;0.79;0.12;-0.01;-1.04;0.01
64;0.00;0.00;0.62;0.12;-0.01;-1.04;0.01
65;0.00;-16777216.00;0.63;0.12;-0.01;-1.04;0.01
66;0.00;-16777216.00;0.46;0.12;-0.01;-1.04;0.02
67;0.00;0.00;0.51;0.12;-0.01;-1.04;0.02
68;0.00;-16777216.00;0.62;0.16;-0.01;-1.04;0.01
69;0.00;-16777216.00;0.55;0.16;-0.01;-1.04;0.00
70;0.00;0.00;0.57;0.16;-0.01;-1.04;0.01
71;0.00;-16777216.00;0.59;0.12;-0.01;-1.04;0.01
72;0.00;-16777216.00;0.54;0.12;-0.00;-1.04;0.00
73;0.00;0.00;0.62;0.12;-0.01;-1.04;0.01
74;0.00;-16777216.00;0.65;0.12;-0.01;-1.04;0.01
75;0.00;0.00;0.52;0.12;-0.00;-1.04;0.01
76;0.00;0.00;0.84;0.12;-0.01;-1.04;0.01
77;0.00;-16777216.00;0.73;0.12;-0.01;-1.04;0.01
78;0.00;0.00;0.55;0.12;-0.01;-1.04;0.01
79;40.00;0.00;0.83;0.65;0.02;-0.98;0.19
80;45.00;-16777216.00;1.99;1.87;-0.22;-1.24;0.00
81;50.00;0.00;16.70;2.84;0.26;-0.83;0.18
82;55.00;0.00;72.82;3.29;0.31;-0.54;0.04
83;60.00;-16777216.00;145.73;3.33;0.36;-0.91;0.06
84;65.00;0.00;187.24;3.62;-0.45;-0.42;0.08
85;70.00;0.00;219.88;4.19;0.64;-0.67;0.07
86;75.00;-16777216.00;246.71;4.88;-1.35;-0.79;0.02
87;80.00;0.00;273.39;5.77;-1.40;-1.05;0.01
