Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;4376652.00;0;0.24;0.00;-1.00;0.00
1;0;4462732.00;0;0.24;0.00;-1.00;0.00
2;0;4548816.00;0;0.24;0.00;-1.00;0.00
3;1;4634900.00;0;0.24;0.00;-1.00;0.00
4;2;4720972.00;1;0.24;0.00;-1.00;0.00
5;3;4807040.00;1;0.24;-0.00;-1.00;0.00
6;4;4893120.00;0;0.24;0.00;-0.99;0.00
7;5;4979216.00;0;0.24;0.00;-1.00;0.00
8;6;5065292.00;1;0.24;0.00;-1.00;0.00
9;7;5151364.00;0;0.24;0.00;-0.99;0.00
10;8;5237452.00;0;0.24;0.00;-1.00;0.00
11;9;5323532.00;0;0.24;0.00;-1.00;0.00
12;10;5409612.00;0;0.24;0.00;-1.00;0.00
13;11;5495692.00;1;0.24;0.00;-1.00;0.00
14;12;5581776.00;1;0.24;0.00;-1.00;0.00
15;13;5667864.00;1;0.28;0.00;-1.00;0.00
16;14;5753928.00;1;0.28;0.00;-0.99;0.00
17;15;5840016.00;0;0.28;-0.00;-1.00;0.00
18;16;5926080.00;0;0.24;0.00;-0.99;0.00
19;17;6012164.00;0;0.24;-0.00;-1.00;0.00
20;18;6098248.00;0;0.24;0.00;-1.00;0.00
21;19;6184312.00;0;0.24;0.00;-1.00;0.00
22;20;6270384.00;0;0.24;0.00;-1.00;0.00
23;21;6356456.00;1;0.24;0.00;-1.01;0.00
24;22;6442536.00;0;0.24;0.00;-1.00;0.00
25;23;6528604.00;0;0.24;-0.00;-1.00;0.00
26;24;6614680.00;1;0.24;-0.00;-1.00;0.00
27;25;6700756.00;0;0.24;0.00;-0.99;0.00
28;26;6786840.00;0;0.24;0.00;-1.00;0.00
29;27;6872908.00;1;0.24;0.00;-1.00;0.01
30;28;6958988.00;0;0.32;-0.00;-1.01;0.11
31;29;7045048.00;1;0.36;-0.02;-0.98;0.07
32;30;7131132.00;3;0.48;-0.16;-0.94;0.09
33;31;7217224.00;10;0.56;0.05;-0.97;0.08
34;32;7303308.00;20;0.73;-0.17;-0.99;0.00
35;33;7389380.00;33;0.81;0.00;-1.15;0.01
36;34;7475464.00;47;0.93;0.10;-1.06;0.05
37;35;7561544.00;58;1.05;-0.32;-0.95;0.03
38;36;7647624.00;74;1.30;0.25;-1.05;0.00
39;37;7733692.00;91;1.70;0.31;-0.98;0.09
40;38;7819788.00;112;1.99;-0.28;-1.28;0.02
41;39;7905864.00;133;2.19;-0.41;-1.54;0.08
42;40;7991940.00;153;2.36;0.00;-1.16;0.08
43;41;8078028.00;173;2.84;-0.54;-1.42;0.01
44;42;8164108.00;196;3.37;-0.22;-1.45;0.12
45;43;8250192.00;221;3.86;0.38;-0.46;0.06
46;44;8336272.00;241;4.39;0.65;-0.58;0.04
47;45;8422368.00;267;5.20;-0.35;-1.77;0.08
48;46;8508444.00;298;6.14;-1.46;-1.37;0.14
49;47;8594512.00;328;6.95;-0.02;-1.51;0.15
50;48;8680612.00;356;7.56;-0.21;-0.88;0.11
51;49;8766676.00;382;8.01;0.18;-0.43;0.04
52;50;8852756.00;409;8.74;-0.81;-0.92;0.04
53;52;9024908.00;475;10.09;1.49;-0.70;0.15
54;53;9111008.00;486;10.25;-0.33;-1.19;0.30
55;53;9197076.00;486;10.21;-0.84;-0.38;0.05
56;54;9283168.00;485;10.09;1.39;-0.49;0.17
57;55;9369252.00;485;10.05;-0.02;-1.27;0.15
58;56;9455332.00;485;9.96;-0.86;-0.57;0.19
59;57;9541424.00;484;9.48;1.43;-0.52;0.01
60;58;9627512.00;483;9.48;-0.17;-1.22;0.14
61;59;9713584.00;484;10.00;-0.98;-0.69;0.01
62;60;9799676.00;484;10.13;1.49;-0.63;0.13
63;61;9885764.00;485;10.09;-0.83;-1.04;0.03
