Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.83
;-0.01
;0.82
;-0.00
;0.86
;-0.01
1;0.84
;-0.01
;0.66
;-0.01
;0.47
;-0.01
2;0.53
;-0.00
;0.51
;-0.00
;0.58
;0.00
3;2.63
;-0.00
;9.31
;-0.09
;18.85
;-0.10
4;28.66
;-0.12
;35.49
;0.08
;40.63
;-0.10
5;44.61
;0.03
;48.99
;0.06
;53.73
;-0.02
6;58.94
;-0.07
;65.90
;-0.08
;74.08
;0.10
7;79.07
;0.07
;84.68
;-0.02
;91.01
;-0.17
8;98.47
;0.13
;106.03
;0.36
;117.23
;0.20
9;130.23
;-0.37
;145.20
;-0.22
;163.79
;-0.70
10;183.91
;0.43
;207.48
;0.01
;229.33
;-0.38
11;245.24
;-0.57
;260.62
;-0.33
;270.47
;0.11
12;271.30
;0.26
;270.28
;0.36
;269.96
;0.37
13;269.58
;0.49
;268.36
;0.43
;267.75
;0.69
14;272.32
;0.09
;291.16
;0.72
;325.74
;1.35
15;370.29
;-0.29
;405.01
;0.37
;417.32
;1.25
16;419.38
;1.70
;420.63
;1.50
;420.42
;0.95
17;420.24
;0.37
;422.40
;-0.38
;421.06
;-0.89
18;420.49
;-1.17
;421.11
;-1.49
;420.70
;-1.63
19;420.69
;-1.42
;420.73
;-1.13
;421.09
;-0.59
20;422.07
;0.04
;0.65
;419.47
;0.66
;417.74
21;1.16
;417.95
;1.44
;420.81
;1.72
;420.99
22;1.58
;419.57
;1.39
;420.47
;1.11
;421.79
23;1.29
;421.17
;1.03
;419.88
;419.25
;0.51
24;419.78
;0.23
;421.78
;-0.01
;422.07
;-0.16
25;419.76
;0.20
;419.84
;-0.18
;421.95
;-0.20
26;421.43
;-0.52
;420.83
;-0.61
;420.14
;-0.52
27;419.05
;-0.63
;418.70
;-0.94
;418.90
;-1.03
28;418.51
;-0.59
;418.75
;-0.69
;419.38
;-0.89
29;418.77
;-1.01
;418.00
;-0.92
;418.08
;-1.00
30;416.44
;-1.23
;416.19
;-1.44
;415.84
;-0.89
31;415.86
;-1.04
;415.52
;-0.90
;414.87
;-1.04
32;413.89
;-0.91
;414.00
;-1.13
;413.55
;-1.12
33;412.77
;-1.41
;410.07
;-1.33
;409.65
;-1.29
34;410.96
;-0.96
;410.22
;-1.20
;410.65
;-1.28
35;413.68
;-1.25
;414.06
;-1.14
;415.07
;-1.17
36;415.71
;-0.98
;415.18
;-0.86
;416.33
;-0.62
37;417.90
;-0.32
;411.17
;1.01
;381.79
;-0.10
38;332.63
;-0.35
;282.30
;-0.32
;246.24
;-0.27
39;207.54
;-0.11
;169.13
;-0.23
;137.42
;-0.31
40;107.94
;0.05
;86.12
;-0.10
;67.87
;0.06
41;51.09
;-0.08
;37.34
;0.03
;26.81
;-0.08
42;18.55
;0.03
;12.88
;0.02
;8.96
;-0.09
43;6.38
;-0.00
;4.73
;0.01
;3.56
;-0.04
44;2.54
;0.01
;1.86
;-0.00
;1.27
;-0.02
45;1.11
;0.00
;0.78
;0.00
;0.48
;-0.01
46;1.69
;0.01
;22.93
;-0.45
;110.39
;0.83
47;262.38
;1.42
;386.10
;0.99
;386.46
;0.79
48;298.16
;-0.34
;195.34
;0.24
;128.60
;-0.01
49;123.42
;0.13
;205.00
;-0.38
;354.20
;0.91
50;413.82
;1.12
;417.31
;1.10
;406.76
;-0.50
51;351.27
;0.19
;284.96
;0.03
;233.74
;-1.10
52;201.76
;0.19
;188.87
;0.10
;211.97
;-0.72
53;318.11
;0.28
;404.55
;0.77
;417.36
;0.90
54;418.59
;0.83
;417.76
;0.99
;418.27
;0.96
55;412.75
;1.26
;358.36
;-0.85
;261.04
;-0.21
56;200.72
;0.76
;234.89
;1.14
;344.38
;0.83
57;406.85
;0.78
;413.86
;0.59
;416.79
;0.34
58;415.49
;-0.61
;385.42
;0.69
;312.61
;-0.20
59;254.78
;0.85
;231.76
;0.88
;236.04
;-1.08
60;294.72
;-1.67
;382.59
;-1.14
;412.34
;-0.38
61;415.14
;-0.21
;417.69
;0.04
;414.78
;0.09
62;413.78
;0.52
;417.30
;0.77
;398.58
;-1.02
63;328.29
;-0.61
;241.18
;0.24
;175.12
;0.22
64;143.29
;-0.12
;140.72
;0.11
;153.25
;0.44
65;196.53
;-0.36
;277.46
;0.30
;371.92
;1.22
66;410.92
;1.63
;415.59
;1.56
;419.94
;1.59
67;421.17
;1.43
;421.21
;0.75
;419.80
;0.20
68;418.72
;-0.44
;419.50
;-0.92
;418.35
;-1.25
69;410.27
;-1.49
;358.82
;0.85
;257.84
;0.32
70;172.21
;0.00
;131.87
;-0.16
;126.65
;-0.16
71;159.61
;-0.22
;270.16
;-1.10
;385.60
;-0.19
72;413.65
;0.36
;416.68
;0.56
;419.34
;0.91
73;400.06
;-0.72
;323.29
;-1.03
;230.81
;0.08
74;149.24
;-0.08
;95.08
;-0.04
;61.10
;-0.12
75;0.01
;0.00
;160.71
;-1.05
;317.61
;0.67
76;403.99
;1.33
;404.22
;0.60
;340.40
;0.19
77;226.38
;0.08
;137.69
;-0.02
;93.57
;-0.14
78;70.88
;0.26
;105.26
;-0.55
;232.01
;0.15
79;367.88
;1.23
;394.12
;-1.40
;321.37
;0.21
80;213.42
;0.14
;141.85
;-0.04
;172.35
;-1.23
81;302.36
;1.11
;395.05
;-0.13
;347.76
;0.15
82;205.74
;0.55
;109.91
;0.01
;145.69
;0.97
83;306.97
;-0.22
;390.62
;-0.11
;311.01
;-0.20
84;201.28
;-0.12
;233.88
;0.06
;360.45
;1.38
85;395.24
;-1.03
;307.63
;0.15
;181.39
;0.31
86;106.99
;0.02
;74.23
;-0.29
;57.27
;-0.01
87;49.20
;-0.10
;45.24
;0.06
;43.14
;0.03
88;41.87
;-0.13
;41.09
;0.14
;40.55
;-0.09
89;40.20
;0.00
;39.99
;0.06
;39.63
;-0.12
90;39.72
;0.11
;39.97
;-0.10
;40.16
;0.01
91;40.25
;0.03
;40.09
;-0.09
;39.98
;0.07
92;39.79
;-0.15
;39.86
;0.10
;40.02
;-0.07
93;39.97
;-0.05
;40.17
;0.05
;40.36
;-0.12
94;40.58
;0.10
;40.47
;-0.09
;40.17
;0.00
95;40.36
;0.04
;40.60
;-0.10
;40.68
;0.13
96;40.65
;-0.11
;40.77
;0.04
;40.60
;0.02
97;40.40
;-0.11
;39.54
;0.06
;35.86
;0.02
98;28.32
;0.08
;19.48
;-0.05
;13.30
;-0.11
99;8.86
;-0.09
;5.71
;0.06
;3.93
;0.04
100;2.65
;-0.00
;1.62
;-0.04
;0.80
;-0.04
101;0.27
;-0.00
;-0.06
;0.01
;-0.42
;0.00
102;-0.78
;-0.02
;-0.89
;-0.02
;-0.96
;-0.00
103;-0.83
;-0.00
;-0.79
;-0.00
;-0.92
;-0.01
104;-0.73
;-0.01
;-0.73
;-0.01
;-0.84
;-0.01
105;-0.74
;-0.00
;-0.75
;-0.00
;-0.88
;-0.01
106;-0.94
;-0.00
;-0.81
;-0.01
