Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;0.72;0.00;-0.01;-1.04;-0.01
1;0.00;0.51;0.00;-0.00;-1.04;-0.01
2;0.00;0.45;0.00;-0.01;-1.04;-0.01
3;0.00;0.53;0.00;-0.01;-1.04;-0.00
4;0.00;0.51;0.00;-0.00;-1.04;-0.00
5;0.00;0.61;0.00;-0.00;-1.04;-0.01
6;0.00;0.64;0.00;-0.01;-1.03;-0.00
7;0.00;0.62;0.00;-0.00;-1.04;-0.01
8;0.00;0.47;0.00;-0.00;-1.04;-0.00
9;0.00;0.68;0.00;-0.01;-1.04;-0.01
10;0.00;0.64;0.00;-0.00;-1.04;-0.01
11;0.00;0.52;0.00;-0.00;-1.04;-0.00
12;0.00;0.67;0.00;-0.00;-1.03;-0.00
13;0.00;0.64;0.00;-0.00;-1.04;-0.00
14;0.00;0.60;0.00;-0.01;-1.04;-0.00
15;0.00;0.63;0.00;-0.00;-1.04;-0.00
16;0.00;0.67;0.00;-0.01;-1.04;-0.01
17;0.00;0.50;0.00;-0.01;-1.04;-0.01
18;0.00;0.42;0.00;-0.00;-1.03;-0.01
19;0.00;0.56;0.00;-0.01;-1.04;-0.00
20;0.00;0.53;0.00;-0.00;-1.04;-0.01
21;0.00;0.36;0.00;-0.01;-1.04;-0.01
22;0.00;0.35;0.00;-0.01;-1.04;-0.01
23;0.00;0.59;0.00;-0.00;-1.04;-0.00
24;0.00;0.66;0.00;-0.01;-1.04;-0.01
25;0.00;0.53;0.00;-0.01;-1.04;-0.01
26;0.00;0.52;0.00;-0.00;-1.04;-0.00
27;0.00;0.45;0.00;-0.01;-1.05;-0.01
28;0.00;0.61;0.00;-0.00;-1.04;-0.00
29;0.00;0.47;0.00;-0.01;-1.04;-0.00
30;0.00;0.36;0.00;-0.00;-1.04;-0.00
31;0.00;0.60;0.00;-0.00;-1.04;-0.01
32;0.00;0.69;0.00;-0.01;-1.04;-0.00
33;0.00;0.51;0.00;-0.01;-1.04;-0.01
34;0.00;0.43;0.00;-0.01;-1.04;-0.01
35;0.00;0.31;0.00;-0.01;-1.04;-0.00
36;0.00;0.44;0.00;-0.01;-1.04;-0.01
37;0.00;0.52;0.00;-0.01;-1.04;-0.01
38;0.00;0.47;0.00;-0.01;-1.04;-0.01
39;0.00;0.56;0.00;-0.01;-1.04;-0.00
40;0.00;0.59;0.00;-0.01;-1.04;-0.01
41;0.00;0.61;0.00;-0.00;-1.04;-0.00
42;0.00;0.43;0.00;-0.01;-1.04;-0.00
43;0.00;0.40;0.00;-0.01;-1.04;-0.01
44;0.00;0.60;0.00;-0.01;-1.04;-0.01
45;0.00;0.58;0.00;-0.01;-1.04;-0.00
46;0.00;0.49;0.00;-0.00;-1.04;-0.01
47;0.00;0.47;0.00;-0.01;-1.04;-0.01
48;0.00;0.53;0.00;-0.01;-1.04;-0.01
49;0.00;0.50;0.00;-0.00;-1.03;-0.00
50;0.00;0.38;0.00;-0.00;-1.04;-0.01
51;0.00;0.56;0.00;-0.01;-1.04;-0.00
52;0.00;0.60;0.00;-0.01;-1.04;-0.00
53;0.00;0.55;0.00;-0.01;-1.04;-0.01
54;0.00;0.53;0.00;-0.01;-1.04;-0.01
55;0.00;0.36;0.00;-0.00;-1.04;-0.00
56;0.00;0.45;0.00;-0.01;-1.04;-0.00
57;0.00;0.27;0.00;-0.01;-1.04;-0.01
58;0.00;0.29;0.00;-0.01;-1.05;-0.01
59;0.00;0.37;0.00;-0.00;-1.04;-0.01
60;0.00;0.43;0.00;-0.00;-1.04;-0.00
61;0.00;0.64;0.00;-0.00;-1.04;-0.00
62;0.00;0.75;0.00;-0.01;-1.04;-0.00
63;0.00;0.79;0.00;-0.01;-1.04;-0.01
64;0.00;0.75;0.00;-0.00;-1.04;-0.00
65;0.00;0.86;0.00;-0.00;-1.04;-0.00
66;0.00;0.87;0.00;-0.01;-1.04;-0.01
67;0.00;0.63;0.00;-0.01;-1.04;-0.01
68;0.00;0.54;0.00;-0.01;-1.04;-0.01
69;0.00;0.38;0.00;-0.01;-1.04;-0.01
70;0.00;0.41;0.00;-0.01;-1.04;-0.01
71;0.00;0.73;0.00;-0.01;-1.04;-0.00
72;40.00;0.60;0.00;-0.01;-1.04;-0.01
73;45.00;0.47;0.00;-0.00;-1.04;-0.01
74;50.00;0.40;0.00;-0.01;-1.09;0.07
75;55.00;0.57;0.01;-0.04;-1.05;0.07
76;60.00;1.75;0.01;0.02;-1.04;-0.00
