Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;3780940.00;0.31;0.24;0.00;-1.00;0.00
1;0.00;3867048.00;0.25;0.24;0.00;-1.00;0.00
2;0.00;3953140.00;0.39;0.24;-0.00;-1.00;0.00
3;0.00;4039228.00;0.64;0.24;0.00;-1.00;0.00
4;0.00;4125332.00;0.68;0.24;0.00;-1.00;0.00
5;0.00;4211428.00;0.47;0.24;0.00;-1.00;0.00
6;0.00;4297532.00;0.44;0.24;0.00;-1.00;0.00
7;0.00;4383616.00;0.68;0.24;0.00;-0.99;0.00
8;28.00;4469736.00;0.53;0.32;-0.03;-1.00;0.06
9;28.00;4555832.00;0.60;0.40;-0.01;-0.98;0.00
10;28.00;4641952.00;2.06;0.44;-0.00;-1.00;0.01
11;28.00;4728068.00;4.55;0.40;0.02;-1.01;0.00
12;28.00;4814156.00;6.42;0.36;-0.01;-1.01;0.00
13;28.00;4900252.00;8.09;0.36;-0.05;-1.02;0.01
14;28.00;4986344.00;9.46;0.36;-0.00;-0.99;0.00
15;28.00;5072452.00;10.53;0.36;0.06;-0.99;0.02
16;28.00;5158556.00;11.22;0.36;0.10;-0.98;0.02
17;28.00;5244652.00;11.65;0.36;0.09;-0.99;0.01
18;28.00;5330744.00;11.88;0.36;0.12;-0.97;0.00
19;28.00;5416840.00;12.15;0.36;0.13;-0.96;0.01
20;28.00;5502960.00;12.38;0.36;0.16;-1.00;0.01
21;28.00;5589060.00;12.52;0.36;0.20;-0.98;0.01
22;28.00;5675140.00;12.49;0.36;0.16;-0.97;0.00
23;28.00;5761240.00;12.50;0.36;0.13;-0.95;0.02
24;28.00;5847352.00;12.66;0.36;0.13;-0.98;0.03
25;28.00;5933436.00;12.56;0.36;0.15;-0.99;0.02
26;28.00;6019552.00;12.41;0.36;0.16;-1.00;0.02
27;28.00;6105652.00;12.41;0.36;0.16;-1.00;0.03
28;28.00;6191740.00;12.60;0.36;0.13;-0.98;0.02
29;28.00;6277844.00;12.63;0.36;0.08;-0.98;0.03
30;28.00;6363940.00;12.49;0.36;0.10;-0.98;0.03
31;28.00;6450044.00;12.56;0.36;0.10;-1.00;0.04
32;28.00;6536140.00;12.50;0.36;0.10;-1.00;0.02
33;28.00;6708360.00;12.62;0.36;0.08;-1.00;0.01
34;28.00;6794428.00;12.59;0.36;0.01;-1.01;0.00
35;28.00;6880540.00;12.72;0.36;0.05;-1.02;0.00
36;28.00;6966624.00;12.78;0.36;-0.00;-1.00;0.01
37;28.00;7052720.00;12.65;0.36;-0.00;-1.02;0.02
38;28.00;7138836.00;12.45;0.36;-0.01;-1.00;0.02
39;28.00;7224944.00;12.25;0.36;-0.05;-1.01;0.00
40;28.00;7311032.00;12.16;0.36;-0.09;-1.02;0.00
41;28.00;7397136.00;12.45;0.36;-0.12;-1.01;0.00
42;28.00;7483240.00;12.57;0.36;-0.13;-1.00;0.00
43;28.00;7569340.00;12.61;0.36;-0.11;-1.01;0.00
44;28.00;7655448.00;12.62;0.36;-0.16;-1.00;0.00
45;28.00;7741540.00;12.51;0.36;-0.16;-1.03;0.00
46;28.00;7827656.00;12.79;0.36;-0.17;-1.02;0.02
47;28.00;7913764.00;12.92;0.36;-0.21;-1.00;0.03
48;28.00;7999848.00;12.74;0.36;-0.21;-1.00;0.04
49;28.00;8085956.00;12.60;0.36;-0.23;-1.01;0.05
50;28.00;8172060.00;12.64;0.36;-0.19;-1.03;0.03
51;28.00;8258160.00;12.57;0.36;-0.18;-1.00;0.03
52;28.00;8344248.00;12.56;0.36;-0.16;-1.03;0.02
53;28.00;8430344.00;12.77;0.36;-0.16;-0.99;0.00
54;28.00;8516456.00;12.90;0.36;-0.12;-1.03;0.00
55;28.00;8602552.00;12.77;0.36;-0.06;-1.01;0.01
56;28.00;8688664.00;12.58;0.36;-0.01;-1.03;0.01
57;28.00;8774756.00;12.44;0.36;-0.01;-1.02;0.01
58;28.00;8860860.00;12.63;0.36;0.07;-1.02;0.01
59;28.00;8946960.00;12.60;0.36;0.06;-0.98;0.01
60;28.00;9033048.00;12.73;0.36;0.08;-0.98;0.01
61;28.00;9119144.00;12.82;0.40;0.10;-0.98;0.02
62;28.00;9205244.00;12.68;0.40;0.14;-0.97;0.03
63;28.00;9291344.00;12.49;0.40;0.17;-1.00;0.05
64;28.00;9377424.00;12.53;0.36;0.16;-0.99;0.04
65;28.00;9463504.00;12.41;0.36;0.17;-0.98;0.02
66;28.00;9549604.00;12.56;0.36;0.19;-0.99;0.02
67;28.00;9635688.00;12.63;0.36;0.22;-0.98;0.01
68;0.00;9721772.00;12.64;0.32;0.19;-0.97;0.00
69;0.00;9807896.00;11.97;0.28;0.03;-1.00;0.00
70;0.00;9893968.00;9.41;0.24;-0.00;-0.98;0.01
71;0.00;9980080.00;6.99;0.24;-0.01;-1.01;0.00
72;0.00;10066176.00;5.18;0.24;-0.01;-1.00;0.01
73;0.00;10152268.00;3.74;0.24;-0.00;-1.00;0.00
74;0.00;10238356.00;2.79;0.24;0.00;-1.00;0.00
75;0.00;10324464.00;2.05;0.24;-0.00;-1.00;0.00
76;0.00;10410552.00;1.62;0.24;0.00;-1.00;0.05
77;0.00;10496652.00;1.44;0.24;0.00;-1.01;0.01
78;0.00;10582756.00;1.07;0.24;-0.00;-1.01;0.02
79;0.00;10668872.00;0.65;0.24;0.00;-1.00;0.03
80;0.00;10754936.00;0.45;0.24;-0.00;-1.00;0.00
81;0.00;10841024.00;0.16;0.24;-0.00;-1.00;0.01
82;0.00;10927124.00;0.38;0.24;-0.00;-1.01;0.01
83;0.00;11013220.00;0.57;0.24;0.01;-0.99;0.00
84;0.00;11099300.00;0.38;0.24;0.00;-0.99;0.01
85;0.00;11185400.00;0.31;0.24;0.00;-0.99;0.00
86;0.00;11271512.00;0.23;0.28;0.00;-1.00;0.00
87;0.00;11357600.00;0.15;0.28;0.00;-0.99;0.00
88;0.00;11443712.00;0.20;0.28;-0.00;-1.00;0.01
89;0.00;11529820.00;0.38;0.24;0.00;-1.00;0.00
90;0.00;11615904.00;0.44;0.24;0.00;-1.00;0.00
91;0.00;11701996.00;0.41;0.24;0.00;-0.99;0.00
92;0.00;11788116.00;0.32;0.24;-0.00;-1.00;0.00
93;0.00;11874208.00;0.37;0.24;-0.00;-1.00;0.00
94;0.00;11960300.00;0.36;0.24;0.00;-1.00;0.00
95;0.00;12046408.00;0.29;0.24;-0.00;-1.00;0.01
96;0.00;12132500.00;0.27;0.24;0.00;-0.99;0.00
97;0.00;12218612.00;0.40;0.24;0.00;-1.00;0.00
98;0.00;12304716.00;0.30;0.24;0.00;-1.00;0.00
99;0.00;12390780.00;0.22;0.24;0.00;-0.99;0.00
100;0.00;12476884.00;0.41;0.24;0.00;-0.99;0.00
101;0.00;12562988.00;0.57;0.24;0.00;-1.00;0.00
102;0.00;12649104.00;0.39;0.24;0.00;-1.00;0.01
103;0.00;12735180.00;0.50;0.24;0.00;-1.00;0.00
104;0.00;12821292.00;0.39;0.24;-0.00;-1.00;0.00
105;0.00;12907384.00;0.41;0.24;0.00;-1.00;0.00
106;0.00;12993476.00;0.49;0.24;0.00;-1.00;0.00
107;0.00;13079568.00;0.49;0.24;0.00;-1.00;0.00
108;0.00;13165688.00;0.52;0.24;0.00;-1.00;0.00
109;0.00;13251780.00;0.47;0.24;0.00;-1.00;0.00
110;0.00;13337876.00;0.58;0.24;0.00;-0.99;0.00
111;0.00;13423964.00;0.61;0.24;0.00;-0.99;0.00
112;0.00;13510080.00;0.58;0.24;0.00;-1.00;0.00
113;0.00;13596172.00;0.43;0.24;0.00;-1.00;0.00
114;0.00;13682272.00;0.46;0.24;0.00;-1.00;0.00
115;0.00;13768384.00;0.58;0.24;0.00;-1.00;0.00
116;0.00;13854472.00;0.50;0.28;0.00;-1.00;0.00
117;0.00;13940576.00;0.23;0.28;0.00;-1.00;0.00
118;0.00;14026672.00;0.36;0.28;0.00;-1.00;0.00
119;0.00;14112780.00;0.45;0.24;0.00;-1.00;0.00
120;0.00;14198880.00;0.43;0.24;-0.00;-1.00;0.00
121;0.00;14284980.00;0.60;0.24;-0.00;-1.00;0.00
122;0.00;14371072.00;0.55;0.24;0.00;-1.00;0.00
123;0.00;14457168.00;0.56;0.24;0.00;-1.00;0.00
124;0.00;14543260.00;0.50;0.24;0.00;-1.00;0.00
125;0.00;14629372.00;0.50;0.24;0.00;-1.00;0.00
126;0.00;14715468.00;0.39;0.24;0.00;-1.00;0.00
127;0.00;14801564.00;0.37;0.24;0.00;-1.00;0.00
128;0.00;14887660.00;0.40;0.24;0.00;-0.99;0.00
129;0.00;14973772.00;0.45;0.24;-0.00;-1.00;0.00
130;0.00;15059872.00;0.41;0.24;0.00;-1.00;0.01
131;0.00;15145976.00;0.23;0.28;-0.00;-1.01;0.00
132;0.00;15232080.00;0.50;0.28;0.00;-1.00;0.00
133;0.00;15318184.00;0.49;0.28;0.00;-1.00;0.00
134;0.00;15404288.00;0.46;0.24;0.00;-1.00;0.00
135;0.00;15490396.00;0.52;0.24;0.00;-1.00;0.00
136;0.00;15576492.00;0.55;0.24;0.00;-1.00;0.00
137;0.00;15662592.00;0.62;0.24;-0.00;-1.00;0.00
138;0.00;15748716.00;0.59;0.24;0.00;-1.00;0.00
