Messwert-Nr.;Gewicht in g
0;1,29
1;4,74
2;8,52
3;11,26
4;13,76
5;15,33
6;16,39
7;17,34
8;17,69
9;17,72
10;17,96
11;18,06
12;18,37
13;18,19
14;18,55
15;20,13
16;22,92
17;27,47
18;32,95
19;38,21
20;42,55
21;46,36
22;50,34
23;53,92
24;57,96
25;60,9
26;65,32
27;69
28;73,35
29;80,24
30;86,6
31;93,33
32;99,78
33;106,59
34;112,47
35;116,19
36;121,8
37;124,63
38;125,63
39;126,05
40;127,48
41;134,22
42;144,17
43;150,72
44;152,04
45;152,3
46;153,39
47;158,68
48;164,9
49;172,3
50;177,3
51;184,23
52;189,34
53;199,5
54;205,65
55;212,88
56;220,76
57;228,98
58;246,47
59;251,84
60;258,29
61;266,35
62;273,26
63;281,57
64;287,31
65;297,01
66;305,07
67;316,36
68;325,72
69;337,46
70;343,72
71;351,97
72;357,57
73;359,1
74;364,34
75;375,15
76;388,1
77;394,55
78;395,27
79;404,76
80;414,94
81;418,51
82;420,3
83;419,97
84;418,66
85;417,58
86;415,77
87;416,68
88;417,96
89;418,98
90;419,44
91;419,08
92;418,51
93;418,98
94;417,92
95;416,67
96;416,93
97;418,24
98;420,78
99;420,88
100;417,54
101;416,69
102;415,65
103;415,27
104;421,27
105;422,16
106;419,29
107;417,19
108;410,98
109;338,29
110;192,98
111;91,44
112;52,25
113;32,5
114;21,42
115;14,38
116;9,61
117;12,91
118;86,13
119;278,47
120;403
121;415,35
122;417,54
123;418,81
124;418,7
125;418
126;417,18
127;407,18
128;327,87
129;193,56
130;102,2
131;59,06
132;36,49
133;23,59
134;16,06
135;11,28
136;8
137;5,61
138;4,38
139;14,43
140;105,93
141;305,33
142;407,31
143;413,99
144;416,92
145;417,65
146;417,54
147;416,37
148;416,11
149;416,32
150;416,91
151;416,89
152;416,03
153;413,29
154;362,49
155;231,6
156;124,46
157;73,05
158;43,94
159;27,24
160;18,3
161;12,67
162;9,14
163;6,7
164;4,86
165;3,68
166;8,28
167;45,97
168;151,87
169;306,69
170;400,93
171;413,79
172;418,79
173;419,26
174;417,4
175;416,31
176;415,85
177;415,66
178;414,43
179;402,19
180;313,89
181;179,59
182;100,77
183;62,92
184;44,92
185;68,87
186;183,28
187;341,56
188;406,5
189;412,14
190;406,87
191;327,35
192;191,7
193;111,22
194;99,6
195;177,76
196;311,09
197;363,33
198;296,74
199;234,31
200;256,58
201;303,09
202;319,09
203;321,68
204;329,34
205;336,18
206;338,6
207;338,44
208;339,35
209;332,38
210;303,49
211;245,67
212;165,61
213;93,44
214;53,59
215;33,67
216;22,36
217;15,67
218;11,25
219;8,05
220;5,75
221;4,12
222;3,07
223;2,17
224;1,63
225;1,2
226;0,98
227;0,74
228;0,54
229;0,53
230;0,43
231;0,44
232;0,38
233;0,5
234;0,83
235;0,72
236;0,59
237;0,65
238;0,66
239;0,78
240;0,67
241;0,68
242;0,6
243;0,58
244;0,47
245;0,51
246;0,61
247;0,83
248;1
249;0,81
250;0,55
251;0,5
252;0,8
