Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;3506.00;0.30;0.12;-0.02;-1.04;0.01
1;0.00;3592.00;0.38;0.12;-0.01;-1.04;0.01
2;0.00;3678.00;0.22;0.12;-0.01;-1.04;0.02
3;0.00;3764.00;0.37;0.12;-0.00;-1.04;0.01
4;0.00;3850.00;0.22;0.12;-0.01;-1.04;0.01
5;0.00;3936.00;0.12;0.12;-0.01;-1.04;0.02
6;0.00;4022.00;0.14;0.12;-0.01;-1.04;0.02
7;0.00;4108.00;0.20;0.12;-0.01;-1.03;0.01
8;0.00;4195.00;0.30;0.12;-0.01;-1.03;0.01
9;0.00;4281.00;0.44;0.12;-0.01;-1.04;0.01
10;0.00;4367.00;0.57;0.12;-0.00;-1.03;0.01
11;0.00;4539.00;0.19;0.12;-0.01;-1.04;0.01
12;0.00;4625.00;0.19;0.12;-0.02;-1.04;0.01
13;0.00;4711.00;0.36;0.12;-0.00;-1.04;0.01
14;0.00;4797.00;0.27;0.12;-0.01;-1.04;0.01
15;0.00;4883.00;0.34;0.16;-0.01;-1.04;0.01
16;0.00;4969.00;0.34;0.16;-0.01;-1.04;0.01
17;0.00;5055.00;0.25;0.16;-0.01;-1.04;0.01
18;0.00;5141.00;0.25;0.12;-0.01;-1.04;0.01
19;0.00;5228.00;0.25;0.12;-0.01;-1.04;0.01
20;0.00;5314.00;0.30;0.12;-0.01;-1.04;0.02
21;0.00;5400.00;0.47;0.12;-0.01;-1.04;0.01
22;0.00;5486.00;0.45;0.12;-0.01;-1.04;0.01
23;0.00;5572.00;0.30;0.12;-0.01;-1.04;0.01
24;0.00;5658.00;0.33;0.12;-0.01;-1.04;0.02
25;0.00;5744.00;0.28;0.12;-0.01;-1.04;0.01
26;0.00;5830.00;0.39;0.12;-0.01;-1.04;0.01
27;0.00;5916.00;0.52;0.12;-0.01;-1.04;0.02
