Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;2259328.00;0;0.20;-0.00;-1.00;0.00
1;100;2345436.00;0;0.40;-0.06;-0.98;0.14
2;100;2431544.00;2;4.63;-0.67;-0.43;0.14
3;0;2517648.00;25;4.59;0.12;-0.92;0.24
4;100;2603752.00;103;7.97;0.44;-1.09;0.33
5;0;2689892.00;184;3.74;0.36;-1.07;0.02
6;100;2775960.00;272;7.08;-1.18;-1.58;0.13
7;0;2862024.00;246;3.45;-0.24;-0.97;0.10
8;100;2948160.00;307;6.95;1.02;-1.04;0.22
9;0;3034220.00;297;3.66;0.40;-0.99;0.06
10;100;3120320.00;361;7.16;-1.42;-1.69;0.27
11;0;3206400.00;312;3.70;0.31;-0.91;0.25
12;100;3292528.00;333;7.28;-1.48;-1.83;0.06
