Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;7437380.00;0.68;0.28;0.00341;-1.00345;0.04630
1;0.00;7523496.00;0.74;0.28;0.00683;-1.00003;0.05120
2;0.00;7609600.00;0.52;0.24;0.00146;-1.00736;0.04390
3;1.00;7695720.00;0.55;0.24;-0.00146;-1.00711;0.07810
4;2.00;7781836.00;0.58;0.24;-0.00292;-1.00223;0.03410
5;3.00;7867928.00;0.59;0.28;-0.00097;-1.00736;0.00480
6;4.00;7954060.00;0.49;0.28;0.00122;-1.00760;0.03410
7;5.00;8040184.00;0.51;0.28;-0.00170;-1.00760;0.06340
8;6.00;8126268.00;0.52;0.24;0.00048;-1.00052;0.05120
9;7.00;8212368.00;0.54;0.24;0.00073;-1.00785;0.06590
10;8.00;8298504.00;0.63;0.24;-0.00268;-1.00541;0.01700
11;9.00;8384616.00;0.70;0.24;0.00024;-1.00736;0.03660
12;10.00;8470740.00;0.79;0.24;0.00122;-1.00614;0.01700
13;11.00;8556852.00;0.71;0.24;0.00341;-1.00223;0.05370
14;12.00;8642964.00;0.54;0.28;0.00439;-1.00223;0.05850
15;13.00;8729088.00;0.47;0.28;0.00195;-1.00248;0.04150
16;14.00;8815192.00;0.46;0.28;0.00268;-1.00370;0.03900
17;15.00;8901292.00;0.54;0.24;0.00073;-1.00223;0.03410
18;16.00;8987412.00;0.43;0.24;0.00317;-1.00516;0.02190
19;17.00;9073520.00;0.61;0.24;0.00463;-0.99979;0.05370
20;18.00;9159616.00;0.63;0.24;-0.00097;-1.00394;0.02680
21;19.00;9245736.00;0.57;0.28;0.00463;-1.00248;0.01220
22;20.00;9331844.00;0.58;0.28;0.00439;-0.99735;0.02920
23;21.00;9417944.00;0.64;0.28;0.00561;-1.00199;0.03660
24;22.00;9504056.00;0.58;0.24;-0.00073;-1.00370;0.03900
25;23.00;9590160.00;0.50;0.24;0.00463;-1.00492;0.02680
26;24.00;9676284.00;0.51;0.24;0.00805;-0.99100;0.04630
27;25.00;9762400.00;0.46;0.24;0.00073;-1.00614;0.05850
28;26.00;9848484.00;0.27;0.24;0.00000;-1.00760;0.02680
29;27.00;9934616.00;0.37;0.24;0.00634;-1.00394;0.03900
30;28.00;10020744.00;0.65;0.32;0.00170;-1.01102;0.70550
31;29.00;10106836.00;0.67;0.44;0.00219;-0.97855;0.20500
32;30.00;10192948.00;2.54;0.56;-0.07690;-1.00394;0.08540
33;31.00;10279060.00;8.98;0.65;0.04077;-1.00638;0.51750
34;32.00;10365152.00;19.20;0.73;0.03198;-1.01590;0.42960
35;33.00;10451280.00;33.15;0.85;-0.01049;-1.04862;0.44670
36;34.00;10537388.00;46.57;0.97;-0.22119;-0.91214;0.64450
37;35.00;10623528.00;58.36;1.13;-0.12841;-0.89481;0.28070
38;36.00;10709628.00;73.79;1.30;0.25683;-0.53299;0.93750
39;37.00;10795736.00;91.04;1.79;0.32885;-0.82669;0.14160
40;39.00;10967952.00;132.68;2.60;-0.07836;-1.24320;0.14890
41;40.00;11054056.00;149.56;2.92;-0.44189;-1.43656;1.48430
42;40.00;11140176.00;169.20;3.13;0.54516;-0.11722;1.18400
43;41.00;11226288.00;188.39;3.41;0.68115;-0.69486;1.30370
44;42.00;11312392.00;201.89;3.58;0.58447;-0.17289;0.34660
45;43.00;11398512.00;219.37;3.90;-0.44482;-1.71048;0.33690
46;44.00;11484624.00;239.09;4.35;-0.39306;-1.51419;0.13910
47;45.00;11570744.00;265.47;5.04;1.04150;-0.20023;0.53950
48;46.00;11656848.00;293.28;5.98;0.74584;-0.84818;0.14160
49;47.00;11742964.00;324.43;6.42;0.66577;-0.62772;0.16840
50;48.00;11829080.00;354.04;7.28;-0.02026;-1.53495;1.94330
51;49.00;11915196.00;376.19;8.09;-0.35131;-1.19071;1.10100
