Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1984.00;0.55;0.12;-0.01;-1.04;0.01
1;0.00;2070.00;0.54;0.12;-0.01;-1.04;0.02
2;0.00;2156.00;0.39;0.12;-0.01;-1.04;0.01
3;0.00;2242.00;0.41;0.12;-0.01;-1.04;0.01
4;0.00;2328.00;0.51;0.12;-0.01;-1.04;0.01
5;0.00;2414.00;0.68;0.12;-0.01;-1.04;0.02
6;0.00;2500.00;0.75;0.12;-0.01;-1.04;0.01
7;0.00;2586.00;0.66;0.12;-0.01;-1.04;0.01
8;0.00;2673.00;0.59;0.12;-0.01;-1.04;0.01
9;0.00;2759.00;0.77;0.12;-0.01;-1.04;0.01
10;0.00;2845.00;0.78;0.12;-0.01;-1.04;0.01
11;0.00;2931.00;0.67;0.12;-0.00;-1.03;0.01
12;0.00;3017.00;0.75;0.12;-0.01;-1.04;0.01
13;0.00;3103.00;0.93;0.12;-0.01;-1.04;0.01
14;0.00;3189.00;0.73;0.12;-0.01;-1.04;0.02
15;0.00;3275.00;0.60;0.12;-0.01;-1.03;0.01
16;0.00;3361.00;0.49;0.12;-0.00;-1.04;0.02
17;0.00;3447.00;0.66;0.12;-0.01;-1.04;0.01
18;0.00;3533.00;0.66;0.12;-0.01;-1.04;0.01
19;0.00;3619.00;0.43;0.12;-0.01;-1.04;0.01
20;0.00;3706.00;0.53;0.16;-0.01;-1.04;0.01
21;0.00;3792.00;0.60;0.16;-0.01;-1.04;0.02
22;0.00;3878.00;0.58;0.16;-0.01;-1.04;0.02
23;0.00;3964.00;0.65;0.12;-0.01;-1.04;0.02
24;0.00;4050.00;0.56;0.12;-0.01;-1.04;0.01
25;0.00;4136.00;0.53;0.12;-0.01;-1.04;0.02
26;0.00;4222.00;0.70;0.12;-0.00;-1.04;0.01
27;0.00;4308.00;0.68;0.12;-0.01;-1.04;0.01
28;0.00;4395.00;0.60;0.12;-0.01;-1.04;0.01
29;0.00;4481.00;0.67;0.12;-0.01;-1.04;0.01
30;0.00;4567.00;0.36;0.12;-0.01;-1.04;0.01
31;0.00;4653.00;0.42;0.12;-0.01;-1.04;0.02
32;0.00;4740.00;0.77;0.12;-0.01;-1.05;0.02
33;0.00;4826.00;0.77;0.12;-0.01;-1.04;0.01
34;0.00;4912.00;0.69;0.12;-0.01;-1.04;0.01
35;0.00;4998.00;0.53;0.12;-0.01;-1.04;0.02
36;0.00;5084.00;0.50;0.12;-0.01;-1.04;0.02
37;0.00;5170.00;0.51;0.12;-0.01;-1.04;0.02
38;0.00;5256.00;0.62;0.12;-0.01;-1.04;0.01
39;0.00;5342.00;0.60;0.12;-0.01;-1.04;0.01
40;0.00;5428.00;0.62;0.12;-0.01;-1.04;0.01
41;0.00;5514.00;0.60;0.12;-0.01;-1.05;0.02
42;0.00;5600.00;0.81;0.12;-0.00;-1.03;0.00
43;0.00;5687.00;0.84;0.12;-0.01;-1.04;0.01
44;0.00;5773.00;0.84;0.12;-0.01;-1.04;0.01
45;0.00;5859.00;0.76;0.16;-0.01;-1.04;0.01
46;0.00;5945.00;0.60;0.16;-0.01;-1.04;0.01
47;0.00;6031.00;0.62;0.16;-0.01;-1.04;0.02
48;0.00;6117.00;0.51;0.12;-0.01;-1.04;0.01
49;0.00;6203.00;0.39;0.12;-0.01;-1.04;0.02
50;0.00;6289.00;0.46;0.12;-0.01;-1.04;0.01
51;0.00;6375.00;0.50;0.12;-0.01;-1.04;0.02
52;0.00;6461.00;0.65;0.12;-0.01;-1.04;0.01
53;0.00;6547.00;0.59;0.12;-0.01;-1.04;0.01
54;0.00;6633.00;0.30;0.12;-0.01;-1.04;0.01
55;0.00;6719.00;0.39;0.12;-0.01;-1.05;0.02
56;0.00;6806.00;0.47;0.12;-0.01;-1.04;0.01
57;0.00;6892.00;0.66;0.12;-0.01;-1.04;0.02
58;0.00;6978.00;0.63;0.12;-0.00;-1.04;0.01
59;0.00;7064.00;0.55;0.12;-0.01;-1.04;0.01
60;0.00;7150.00;0.50;0.12;-0.01;-1.04;0.02
61;0.00;7236.00;0.62;0.12;-0.01;-1.04;0.01
62;0.00;7322.00;0.66;0.12;-0.01;-1.05;0.02
63;0.00;7408.00;0.77;0.12;-0.01;-1.04;0.02
64;0.00;7494.00;0.71;0.12;-0.01;-1.04;0.02
65;0.00;7580.00;0.58;0.12;-0.01;-1.04;0.01
66;0.00;7666.00;0.64;0.12;-0.01;-1.04;0.01
67;0.00;7752.00;0.74;0.12;-0.01;-1.05;0.01
68;0.00;7839.00;0.45;0.12;-0.01;-1.04;0.02
69;0.00;7925.00;0.55;0.12;-0.01;-1.04;0.01
70;0.00;8011.00;0.73;0.12;-0.01;-1.04;0.01
71;0.00;8097.00;0.59;0.12;-0.01;-1.04;0.01
72;0.00;8183.00;0.37;0.12;-0.01;-1.04;0.01
73;0.00;8269.00;0.57;0.12;-0.01;-1.04;0.02
74;0.00;8355.00;0.80;0.12;-0.01;-1.04;0.01
75;0.00;8441.00;0.55;0.12;-0.01;-1.03;0.00
76;0.00;8527.00;0.47;0.12;-0.01;-1.04;0.01
77;0.00;8613.00;0.61;0.12;-0.01;-1.04;0.00
78;0.00;8699.00;0.75;0.12;-0.01;-1.04;0.01
79;19.00;8785.00;0.60;0.28;-0.01;-1.15;0.11
80;21.00;8872.00;1.75;1.30;-0.00;-1.07;0.03
81;23.00;8958.00;14.79;1.91;0.21;-0.60;0.07
82;25.00;9044.00;58.32;2.52;-0.00;-1.03;0.33
83;27.00;9131.00;110.75;2.15;0.36;-0.64;0.18
84;29.00;9217.00;140.50;2.44;0.35;-0.59;0.07
85;31.00;9303.00;162.10;2.72;-0.39;-1.48;0.05
86;33.00;9389.00;179.90;3.13;-0.68;-1.21;0.04
87;35.00;9475.00;198.40;3.45;0.13;-1.50;0.10
88;37.00;9561.00;217.42;4.02;-0.94;-0.94;0.05
89;39.00;9647.00;238.60;4.76;-1.03;-0.94;0.02
90;41.00;9733.00;260.27;5.53;1.12;-1.34;0.04
91;43.00;9820.00;281.67;6.18;0.10;-1.13;0.02
92;45.00;9906.00;303.00;6.91;1.13;-1.34;0.07
93;47.00;9992.00;323.01;7.64;-1.08;-0.67;0.01
94;49.00;10078.00;346.37;8.30;-0.60;-1.27;0.05
95;51.00;10164.00;372.21;8.87;-1.36;-1.29;0.03
96;53.00;10250.00;396.42;9.03;-1.64;-1.06;0.03
97;55.00;10336.00;404.37;8.82;-1.16;-0.71;0.06
98;57.00;10422.00;405.16;8.95;-0.19;-0.56;0.09
99;59.00;10508.00;405.20;8.66;0.84;-0.74;0.04
100;61.00;10594.00;405.66;8.82;1.55;-0.77;0.01
101;63.00;10680.00;405.98;8.54;1.58;-1.02;0.12
102;65.00;10766.00;405.11;8.91;0.91;-1.32;0.07
103;69.00;10939.00;405.04;9.19;-0.63;-1.34;0.15
104;71.00;11025.00;404.04;9.19;-1.24;-1.27;0.06
105;73.00;11111.00;403.67;9.27;-1.55;-1.14;0.11
106;75.00;11197.00;403.35;9.15;-1.49;-0.81;0.24
