Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;17244936.00;1;0.20;0.00;-1.00;0.00
1;0;17331036.00;1;0.20;-0.00;-1.01;0.00
2;0;17417136.00;1;0.20;0.00;-1.00;0.01
3;1;17503228.00;1;0.20;-0.00;-1.00;0.00
4;2;17589324.00;1;0.20;-0.00;-1.00;0.00
5;3;17675412.00;1;0.20;-0.00;-1.00;0.00
6;4;17761512.00;1;0.24;-0.00;-1.00;0.00
7;5;17847604.00;1;0.24;-0.00;-1.00;0.00
8;6;17933688.00;1;0.24;-0.00;-1.00;0.00
9;7;18019776.00;1;0.24;-0.00;-1.00;0.00
10;8;18105872.00;1;0.20;0.00;-1.00;0.01
11;9;18191964.00;1;0.20;-0.00;-1.00;0.00
12;10;18278056.00;1;0.20;0.00;-1.00;0.00
13;11;18364140.00;1;0.24;-0.00;-0.99;0.00
14;12;18450240.00;1;0.24;-0.00;-1.00;0.00
15;13;18536336.00;1;0.24;-0.00;-1.00;0.00
16;14;18622424.00;1;0.24;-0.00;-1.00;0.00
17;15;18708524.00;0;0.24;-0.00;-1.00;0.00
18;16;18794628.00;0;0.24;-0.00;-1.00;0.00
19;17;18880720.00;1;0.24;-0.00;-1.00;0.00
20;18;18966820.00;1;0.24;-0.00;-1.00;0.01
21;19;19052896.00;1;0.24;-0.00;-1.01;0.00
22;20;19139008.00;1;0.24;-0.00;-1.00;0.00
23;21;19225104.00;1;0.24;-0.00;-1.00;0.01
24;22;19311196.00;1;0.24;-0.00;-1.00;0.00
25;23;19397280.00;0;0.24;-0.00;-1.01;0.00
26;24;19483376.00;0;0.20;-0.00;-1.00;0.00
27;25;19569464.00;0;0.20;-0.00;-1.00;0.00
28;26;19655556.00;1;0.20;-0.01;-1.00;0.00
29;27;19741636.00;1;0.24;-0.00;-1.00;0.00
30;28;19827736.00;1;0.32;0.01;-0.99;0.05
31;29;19913824.00;1;0.36;0.01;-0.95;0.07
32;30;19999944.00;3;0.48;0.06;-0.99;0.02
33;31;20086028.00;10;0.56;0.06;-1.01;0.05
34;32;20172116.00;19;0.73;-0.12;-1.00;0.03
35;33;20258228.00;33;0.81;-0.11;-1.05;0.02
36;34;20344292.00;47;0.93;0.10;-1.07;0.10
37;35;20430384.00;59;1.05;-0.25;-1.10;0.03
38;36;20516460.00;73;1.34;0.12;-0.93;0.05
39;37;20602552.00;92;1.70;-0.12;-0.90;0.05
40;38;20688656.00;115;2.03;-0.07;-1.13;0.05
41;39;20774744.00;135;2.31;-0.39;-1.05;0.00
42;40;20860836.00;152;2.40;0.40;-1.11;0.06
43;41;20946912.00;174;2.84;-0.52;-0.95;0.01
44;42;21033012.00;197;3.09;-0.26;-0.85;0.00
45;43;21119104.00;220;3.54;0.33;-1.08;0.00
46;44;21205216.00;243;4.06;0.70;-1.11;0.05
47;45;21291316.00;268;5.08;-1.03;-0.87;0.02
48;46;21377420.00;297;6.06;-1.59;-1.30;0.00
49;47;21463496.00;330;6.87;-1.12;-0.78;0.08
50;49;21635692.00;381;7.97;1.35;-0.36;0.08
51;50;21721788.00;412;8.91;-1.59;-1.41;0.15
