Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1771.00;0.69;0.04;-0.01;-1.04;0.01
1;0.00;1857.00;0.64;0.08;-0.01;-1.04;0.01
2;0.00;1943.00;0.27;0.12;-0.00;-1.04;0.01
3;0.00;2030.00;0.18;0.12;-0.01;-1.04;0.01
4;0.00;2116.00;0.25;0.12;-0.01;-1.04;0.01
5;0.00;2202.00;0.36;0.12;-0.01;-1.05;0.01
6;0.00;2288.00;0.30;0.12;-0.00;-1.04;0.01
7;0.00;2374.00;0.36;0.12;-0.00;-1.04;0.01
8;0.00;2460.00;0.33;0.12;-0.01;-1.03;0.01
9;0.00;2546.00;0.27;0.12;-0.00;-1.04;0.02
10;0.00;2632.00;0.40;0.12;-0.01;-1.04;0.01
11;0.00;2718.00;0.34;0.12;-0.00;-1.04;0.01
12;0.00;2804.00;0.50;0.12;-0.01;-1.04;0.01
13;0.00;2891.00;0.42;0.12;-0.01;-1.04;0.01
14;0.00;2977.00;0.21;0.12;-0.00;-1.04;0.01
15;0.00;3063.00;0.18;0.12;-0.00;-1.04;0.01
16;0.00;3149.00;0.32;0.12;-0.01;-1.04;0.01
17;0.00;3235.00;0.40;0.12;-0.00;-1.04;0.01
18;0.00;3321.00;0.34;0.12;-0.01;-1.04;0.01
19;0.00;3407.00;0.26;0.12;-0.01;-1.05;0.02
20;0.00;3493.00;0.50;0.12;-0.01;-1.04;0.02
21;0.00;3579.00;0.30;0.12;-0.01;-1.04;0.01
22;0.00;3665.00;0.17;0.12;-0.00;-1.04;0.01
23;0.00;3751.00;0.21;0.12;-0.01;-1.04;0.01
24;0.00;3838.00;0.28;0.12;-0.00;-1.04;0.01
25;0.00;3924.00;0.29;0.12;-0.01;-1.04;0.01
26;0.00;4011.00;0.34;0.12;-0.01;-1.04;0.02
27;0.00;4097.00;0.27;0.16;-0.01;-1.04;0.02
28;0.00;4183.00;0.34;0.16;-0.01;-1.04;0.01
29;0.00;4269.00;0.35;0.16;-0.01;-1.04;0.01
30;0.00;4355.00;0.26;0.12;-0.00;-1.04;0.02
31;0.00;4441.00;0.16;0.12;-0.01;-1.04;0.02
32;0.00;4527.00;0.21;0.12;-0.00;-1.04;0.01
33;0.00;4613.00;0.46;0.12;-0.00;-1.04;0.01
34;0.00;4699.00;0.58;0.12;-0.01;-1.04;0.01
35;0.00;4786.00;0.48;0.12;-0.01;-1.04;0.01
36;0.00;4872.00;0.51;0.12;-0.01;-1.04;0.01
37;0.00;4958.00;0.36;0.12;-0.01;-1.04;0.02
38;0.00;5044.00;0.08;0.12;-0.00;-1.04;0.01
39;0.00;5130.00;0.32;0.12;-0.01;-1.04;0.02
40;0.00;5216.00;0.49;0.16;-0.00;-1.04;0.02
41;0.00;5302.00;0.32;0.16;-0.00;-1.04;0.01
42;0.00;5388.00;0.37;0.16;-0.01;-1.04;0.02
43;0.00;5474.00;0.28;0.12;-0.00;-1.04;0.01
44;0.00;5560.00;0.30;0.12;-0.01;-1.04;0.02
45;0.00;5646.00;0.40;0.12;-0.01;-1.04;0.01
46;0.00;5819.00;0.19;0.12;-0.00;-1.03;0.01
47;0.00;5905.00;0.15;0.12;-0.01;-1.04;0.01
48;0.00;5991.00;0.28;0.12;-0.01;-1.05;0.02
49;0.00;6077.00;0.38;0.12;-0.01;-1.04;0.02
50;0.00;6163.00;0.23;0.12;-0.01;-1.04;0.01
51;0.00;6249.00;0.20;0.12;-0.01;-1.04;0.01
52;0.00;6335.00;0.28;0.12;-0.01;-1.04;0.02
53;0.00;6421.00;0.32;0.12;-0.01;-1.04;0.01
54;0.00;6507.00;0.27;0.12;-0.01;-1.04;0.01
55;0.00;6593.00;0.30;0.12;-0.01;-1.04;0.01
56;0.00;6680.00;0.17;0.12;-0.00;-1.04;0.01
57;0.00;6766.00;0.04;0.12;-0.01;-1.04;0.01
58;0.00;6852.00;0.21;0.12;-0.01;-1.04;0.02
59;0.00;6938.00;0.36;0.12;-0.01;-1.04;0.02
60;0.00;7024.00;0.50;0.12;-0.00;-1.04;0.01
61;0.00;7110.00;0.43;0.12;-0.01;-1.04;0.01
62;0.00;7196.00;0.23;0.12;-0.00;-1.04;0.01
63;0.00;7282.00;0.20;0.12;-0.01;-1.04;0.01
64;0.00;7368.00;0.27;0.12;-0.01;-1.04;0.01
65;0.00;7454.00;0.31;0.12;-0.01;-1.04;0.02
66;0.00;7540.00;0.31;0.12;-0.01;-1.05;0.02
67;0.00;7627.00;0.23;0.12;-0.00;-1.04;0.01
68;0.00;7713.00;0.10;0.12;-0.00;-1.04;0.01
69;0.00;7799.00;0.36;0.12;-0.01;-1.04;0.01
70;0.00;7885.00;0.52;0.12;-0.00;-1.05;0.02
71;0.00;7971.00;0.47;0.12;-0.01;-1.04;0.02
72;0.00;8057.00;0.50;0.12;-0.01;-1.04;0.02
73;0.00;8143.00;0.37;0.12;-0.01;-1.04;0.01
74;0.00;8229.00;0.35;0.12;-0.00;-1.03;0.01
75;0.00;8315.00;0.34;0.12;-0.01;-1.04;0.02
76;0.00;8401.00;0.37;0.12;-0.01;-1.04;0.01
77;0.00;8488.00;0.37;0.12;-0.01;-1.04;0.02
78;19.00;8574.00;0.32;0.61;-0.02;-1.08;0.06
79;21.00;8660.00;2.23;1.42;0.20;-0.94;0.07
80;23.00;8747.00;17.94;2.11;-0.12;-0.60;0.06
81;25.00;8833.00;63.84;2.19;-0.37;-1.54;0.01
82;27.00;8919.00;112.19;1.99;-0.05;-0.89;0.03
83;29.00;9005.00;139.59;2.19;-0.31;-1.15;0.04
84;31.00;9091.00;158.84;2.68;0.39;-1.06;0.03
85;33.00;9177.00;175.09;3.25;0.26;-1.45;0.13
86;35.00;9263.00;193.35;3.62;0.59;-0.67;0.01
87;37.00;9350.00;213.73;4.10;0.14;-1.68;0.01
88;39.00;9436.00;234.95;4.67;0.72;-1.34;0.03
89;41.00;9522.00;256.50;5.12;-0.52;-0.66;0.00
90;43.00;9608.00;278.55;5.90;0.86;-0.94;0.05
91;45.00;9694.00;299.61;6.63;-0.21;-0.57;0.00
92;47.00;9780.00;320.63;7.52;0.23;-1.54;0.01
93;49.00;9866.00;344.13;8.01;-1.28;-0.57;0.09
94;51.00;9952.00;365.35;8.17;0.03;-0.45;0.09
95;53.00;10038.00;387.16;8.46;1.10;-0.48;0.05
96;55.00;10124.00;394.78;8.54;1.43;-0.98;0.06
97;57.00;10210.00;394.74;8.82;1.05;-1.23;0.16
98;59.00;10297.00;394.43;8.54;0.24;-1.31;0.02
99;61.00;10383.00;393.84;8.70;-0.54;-1.36;0.16
100;63.00;10469.00;392.83;8.54;-1.25;-1.41;0.01
101;65.00;10555.00;392.10;9.11;-1.44;-1.08;0.09
102;67.00;10641.00;391.11;8.66;-0.93;-0.85;0.08
103;69.00;10727.00;390.39;8.78;-0.16;-0.83;0.11
104;71.00;10813.00;389.63;8.70;0.83;-0.73;0.12
105;73.00;10899.00;389.06;9.03;1.42;-0.94;0.08
106;75.00;10985.00;389.20;8.99;1.53;-1.39;0.18
107;77.00;11071.00;389.16;8.99;0.64;-1.37;0.20
108;77.00;11157.00;389.24;9.11;0.00;-1.03;0.10
109;75.00;11244.00;387.73;9.23;-0.56;-1.09;0.14
110;75.00;11330.00;386.87;9.19;-1.23;-1.20;0.00
111;73.00;11416.00;387.22;9.15;-1.35;-1.14;0.11
112;71.00;11502.00;388.92;9.15;-1.43;-0.80;0.00
113;69.00;11588.00;389.89;8.87;-0.88;-0.46;0.03
114;67.00;11674.00;389.61;8.87;0.37;-0.87;0.10
115;65.00;11760.00;390.54;8.82;1.10;-0.57;0.04
116;63.00;11846.00;389.93;9.15;1.55;-0.98;0.02
117;61.00;11932.00;388.40;8.78;1.52;-1.09;0.18
118;59.00;12018.00;389.44;8.62;1.28;-1.29;0.05
119;57.00;12104.00;391.25;8.17;0.41;-1.19;0.06
120;55.00;12191.00;393.50;8.30;-0.03;-1.32;0.03
121;53.00;12277.00;394.19;8.13;-0.41;-1.47;0.05
