Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1757.00;0.52;0.04;-0.01;-1.03;0.01
1;0.00;1843.00;0.51;0.08;-0.01;-1.04;0.01
2;0.00;1929.00;0.47;0.12;-0.01;-1.04;0.01
3;0.00;2015.00;0.42;0.12;-0.01;-1.04;0.01
4;0.00;2102.00;0.48;0.12;-0.01;-1.04;0.01
5;0.00;2188.00;0.59;0.12;-0.01;-1.04;0.01
6;0.00;2274.00;0.72;0.12;-0.01;-1.04;0.01
7;0.00;2360.00;0.71;0.12;-0.01;-1.04;0.02
8;0.00;2446.00;0.59;0.12;-0.01;-1.04;0.00
9;0.00;2532.00;0.46;0.12;-0.00;-1.04;0.01
10;0.00;2618.00;0.48;0.12;-0.01;-1.04;0.01
11;0.00;2704.00;0.51;0.12;-0.01;-1.04;0.01
12;0.00;2790.00;0.61;0.12;-0.01;-1.04;0.01
13;0.00;2876.00;0.51;0.12;-0.01;-1.04;0.01
14;0.00;2963.00;0.46;0.12;-0.01;-1.04;0.01
15;0.00;3049.00;0.38;0.12;-0.01;-1.04;0.01
16;0.00;3135.00;0.58;0.12;-0.00;-1.04;0.01
17;0.00;3221.00;0.59;0.12;-0.01;-1.04;0.01
18;0.00;3307.00;0.39;0.12;-0.01;-1.04;0.01
19;0.00;3393.00;0.45;0.12;-0.01;-1.04;0.01
20;0.00;3479.00;0.46;0.12;-0.00;-1.04;0.01
21;0.00;3565.00;0.51;0.12;-0.01;-1.04;0.01
22;0.00;3651.00;0.48;0.12;-0.01;-1.04;0.01
23;0.00;3737.00;0.43;0.12;-0.01;-1.04;0.01
24;0.00;3824.00;0.52;0.12;-0.01;-1.04;0.01
25;0.00;3910.00;0.50;0.12;-0.02;-1.04;0.01
26;0.00;3996.00;0.55;0.12;-0.01;-1.04;0.01
27;0.00;4082.00;0.47;0.12;-0.01;-1.04;0.01
28;0.00;4168.00;0.51;0.12;-0.01;-1.04;0.01
29;0.00;4254.00;0.40;0.12;-0.01;-1.04;0.02
30;0.00;4340.00;0.53;0.12;-0.01;-1.04;0.01
31;0.00;4426.00;0.54;0.12;-0.01;-1.04;0.01
32;0.00;4512.00;0.30;0.12;-0.01;-1.05;0.01
33;0.00;4599.00;0.38;0.12;-0.00;-1.04;0.02
34;0.00;4685.00;0.60;0.12;-0.01;-1.04;0.01
35;0.00;4771.00;0.72;0.12;-0.01;-1.04;0.02
36;0.00;4857.00;0.78;0.12;-0.01;-1.04;0.01
37;0.00;4943.00;0.71;0.12;-0.01;-1.04;0.01
38;0.00;5029.00;0.73;0.12;-0.01;-1.03;0.01
39;0.00;5115.00;0.59;0.12;-0.01;-1.04;0.01
40;0.00;5201.00;0.53;0.12;-0.01;-1.04;0.01
41;0.00;5287.00;0.51;0.12;-0.01;-1.04;0.01
42;0.00;5373.00;0.53;0.12;-0.01;-1.04;0.01
43;0.00;5460.00;0.64;0.12;-0.01;-1.04;0.02
44;0.00;5547.00;0.73;0.12;-0.01;-1.04;0.01
45;0.00;5633.00;0.53;0.12;-0.01;-1.04;0.02
46;0.00;5719.00;0.47;0.12;-0.01;-1.04;0.01
47;0.00;5805.00;0.53;0.12;-0.00;-1.04;0.03
48;0.00;5891.00;0.68;0.16;-0.01;-1.04;0.01
49;0.00;5977.00;0.75;0.16;-0.01;-1.04;0.01
50;0.00;6063.00;0.75;0.16;-0.01;-1.04;0.02
51;0.00;6149.00;0.65;0.12;-0.01;-1.04;0.02
52;0.00;6235.00;0.58;0.12;-0.01;-1.04;0.01
53;0.00;6322.00;0.51;0.12;-0.01;-1.03;0.01
54;0.00;6408.00;0.34;0.12;-0.01;-1.04;0.01
55;0.00;6494.00;0.41;0.12;-0.02;-1.04;0.01
56;0.00;6580.00;0.29;0.12;-0.01;-1.04;0.02
57;0.00;6666.00;0.36;0.12;-0.01;-1.04;0.02
58;0.00;6752.00;0.53;0.12;-0.00;-1.04;0.01
59;0.00;6838.00;0.64;0.12;-0.00;-1.03;0.02
60;0.00;6924.00;0.45;0.12;-0.01;-1.04;0.01
61;0.00;7010.00;0.53;0.12;-0.01;-1.04;0.01
62;0.00;7096.00;0.54;0.12;-0.01;-1.04;0.01
63;0.00;7183.00;0.48;0.12;-0.01;-1.04;0.02
64;0.00;7355.00;0.40;0.12;-0.01;-1.04;0.01
65;0.00;7441.00;0.45;0.12;-0.01;-1.04;0.01
66;0.00;7527.00;0.44;0.12;-0.01;-1.04;0.01
67;0.00;7613.00;0.34;0.12;-0.01;-1.04;0.01
68;0.00;7699.00;0.39;0.12;-0.01;-1.04;0.01
69;0.00;7785.00;0.47;0.12;-0.01;-1.04;0.01
70;0.00;7871.00;0.53;0.12;-0.00;-1.03;0.01
71;0.00;7957.00;0.52;0.12;-0.01;-1.04;0.02
72;0.00;8044.00;0.58;0.12;-0.01;-1.04;0.01
73;0.00;8130.00;0.50;0.12;-0.01;-1.04;0.01
74;0.00;8216.00;0.43;0.12;-0.01;-1.04;0.02
75;0.00;8302.00;0.41;0.12;-0.01;-1.04;0.01
76;0.00;8388.00;0.33;0.12;-0.01;-1.04;0.01
77;0.00;8474.00;0.45;0.12;-0.01;-1.04;0.01
78;40.00;8560.00;0.64;0.65;-0.04;-1.01;0.11
79;45.00;8646.00;1.96;2.27;-0.16;-1.23;0.06
