Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;2483056.00;1;0.24;-0.00;-1.00;0.00
1;100;2569168.00;0;0.48;-0.06;-1.05;0.02
2;100;2655292.00;2;3.13;-0.65;-0.80;0.04
3;0;2741424.00;21;3.09;-0.24;-0.87;0.06
4;100;2827524.00;67;6.87;0.26;-1.08;0.07
5;0;2913648.00;116;4.19;-0.56;-1.06;0.31
6;100;2999744.00;220;8.26;-1.21;-1.39;0.42
7;0;3085848.00;257;4.19;-0.46;-0.93;0.00
8;100;3171972.00;347;7.64;-0.16;-0.21;0.30
9;0;3258088.00;309;3.58;0.37;-1.00;0.23
10;100;3344180.00;335;7.20;0.72;-0.36;0.17
11;0;3430300.00;307;3.74;-0.22;-1.16;0.19
12;100;3516404.00;362;7.64;1.36;-0.60;0.03
13;0;3602520.00;310;4.06;-0.29;-1.01;0.03
