Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;2554192.00;0.43;0.28;0.00;-0.26;0.00
1;0.00;2640296.00;0.25;0.28;0.00;-0.26;0.01
2;0.00;2726428.00;0.38;0.24;-0.00;-0.26;0.00
3;1.00;2812504.00;0.70;0.24;0.00;-0.26;0.00
4;2.00;2898624.00;0.41;0.24;0.00;-0.26;0.02
5;3.00;2984712.00;0.25;0.24;0.00;-0.26;0.00
6;4.00;3070820.00;0.44;0.24;0.00;-0.26;0.00
7;5.00;3156916.00;0.35;0.24;0.00;-0.26;0.01
8;6.00;3243024.00;0.14;0.24;0.00;-0.26;0.00
9;7.00;3329144.00;0.22;0.24;0.00;-0.26;0.00
10;8.00;3415264.00;0.43;0.24;0.00;-0.26;0.01
11;9.00;3501356.00;0.47;0.24;0.00;-0.26;0.00
12;10.00;3587472.00;0.58;0.28;0.00;-0.26;0.01
13;11.00;3673596.00;0.63;0.28;-0.00;-0.26;0.02
14;12.00;3759720.00;0.53;0.28;0.00;-0.26;0.02
15;13.00;3845828.00;0.45;0.28;0.00;-0.26;0.02
16;14.00;3931924.00;0.36;0.28;0.00;-0.26;0.02
17;15.00;4018012.00;0.34;0.28;0.00;-0.26;0.00
18;16.00;4104116.00;0.51;0.24;-0.00;-0.26;0.00
19;17.00;4190232.00;0.49;0.24;0.00;-0.26;0.00
20;18.00;4276336.00;0.40;0.24;0.00;-0.26;0.01
21;19.00;4362436.00;0.39;0.24;0.00;-0.26;0.01
22;20.00;4448540.00;0.34;0.24;0.00;-0.26;0.00
23;21.00;4534632.00;0.34;0.24;0.00;-0.26;0.00
24;22.00;4620744.00;0.31;0.24;0.00;-0.26;0.01
25;23.00;4706872.00;0.32;0.24;0.00;-0.26;0.03
26;24.00;4792948.00;0.44;0.24;0.00;-0.26;0.00
27;25.00;4879068.00;0.49;0.24;-0.00;-0.26;0.03
28;26.00;4965172.00;0.61;0.24;0.00;-0.26;0.01
29;27.00;5051280.00;0.63;0.28;0.00;-0.26;0.01
30;28.00;5137376.00;0.55;0.36;0.00;-0.25;0.04
31;29.00;5223496.00;0.53;0.40;-0.00;-0.25;0.07
32;30.00;5309612.00;2.45;0.48;-0.02;-0.25;0.06
33;31.00;5395708.00;9.14;0.56;0.05;-0.25;0.13
34;32.00;5481808.00;18.95;0.73;0.02;-0.26;0.14
35;33.00;5567916.00;31.89;0.85;0.05;-0.26;0.02
36;34.00;5654016.00;45.67;0.97;-0.06;-0.27;0.14
37;35.00;5740132.00;57.15;1.18;-0.03;-0.23;0.06
38;36.00;5826228.00;71.89;1.42;0.04;-0.18;0.03
39;37.00;5912328.00;90.59;1.66;0.01;-0.23;0.15
40;38.00;5998448.00;111.01;1.87;-0.00;-0.28;0.12
41;39.00;6084548.00;131.00;2.23;0.12;-0.21;0.02
42;40.00;6170664.00;149.32;2.64;-0.13;-0.41;0.18
43;41.00;6256760.00;170.88;3.21;0.12;0.00;0.49
